,title,author_info,rating,pros,cons,helpful
0,No Growth! No Opprtunities!,,3.0,"Great Company. Great Product. Great Culture. Great People. Everything is great, except your personal career!","Zero Growth. No Internal Opportunities. Out of 10 roles one applies internally, you get selected for none. If you are lucky to get an interview - the scrutiny is so severe that you wonder - what did I do in Salesforce for so many years that one needs to still prove their worth!",1 person found this review helpful
1,One of the best place to work in,,5.0,Great benefits. Look after its staff. Competitive compensation.,Have to always be mindful of not saying the wrong thing,Be the first to find this review helpful
2,Amazing Opportunity,,5.0,"lots of opportunity to work with really exciting brands, and very good compensation. This was the best move for my career.",Stressful work and high expectation around performance,Be the first to find this review helpful
3,"Awesome place to work, don't hesitate!",,5.0,"Amazing culture, product and people",No cons at this stage,Be the first to find this review helpful
4,Feeling good at ep,,4.0,Friendly environment in this company,... ... .... .... ...,Be the first to find this review helpful
5,Great Place to work,,5.0,Salesforce is an employee friendly company.,"Cons, I have not found anything. But one thing is it has it's own specific platform so your knowledge will be around that only.",1 person found this review helpful
6,Great company,,5.0,"Company Culture, Salary, Benefits, Work/Life Balance, People",A lot of pressure as the env is very competitive,Be the first to find this review helpful
7,Great place to work,,4.0,Great pay and benefits. Very good products. Like the culture and the ever changing org.,"Growing pains, the company is getting some of the traits of very big companies and loosing the start-up traits",Be the first to find this review helpful
8,Excellent place to work,,5.0,Pay Benefits The people Work life balance,Fortunately i have no cons yet to the job,Be the first to find this review helpful
9,Great place to work for,,5.0,"Great benefits, working with a lot of intelligent people",Sometimes the workload can be overwhelming,Be the first to find this review helpful
10,Analyst review,,4.0,"People are great, perks are great, money is quite good as well.","we get an insane amount of work, be prepared to sacrifice sleep.",Be the first to find this review helpful
11,Incredible place to work,,5.0,"Incredible culture, managers, leadership and people",The work is monotonous at times,Be the first to find this review helpful
12,Best Place to learn,,5.0,"good learning, friendly people, high commissions","high targets, difficult promotion processes, low flexibility in changing markets / role",Be the first to find this review helpful
13,Best company to work for,,5.0,"- best company to work for - people are very smart, best in class",moving countries/transfers with the company are not easy,Be the first to find this review helpful
14,Good,,5.0,"All over Very Good company , nothing much","Nothing bad about the company , nothi g much",Be the first to find this review helpful
15,Great Place to work,,5.0,"Great team, very supportive Colleagues.",I didn't find any yet,1 person found this review helpful
16,Good,,3.0,work life balance is good. peoples behavior is depends upon project,No much benefits but motivational environment. sal worthy for the work average hikes,Be the first to find this review helpful
17,"Amazing Platform, Great Customers, Cool culture",,4.0,High Performance Native SaaS company Forever Start up culture,Maturity of processes & skills for Enterprise Accounts is a constant evolution,Be the first to find this review helpful
18,Great Workplace Culture-Slogan,,3.0,"I joined SF because of the great products, market share, and mostly the dream of joining the #1 best places to work culture. They do have great products, market share and benefits","Great culture comes in pockets. Depending on the team and your direct manager, one may not experience the benefits of great work culture.",2 people found this review helpful
19,Very nice company,,5.0,"Good pay check, amazing benefits",Leadership not prepared to handle the team. HR processes.,Be the first to find this review helpful
20,Great people and amazing culture,"Jun 25, 2021 - Business Development Associate in Dublin, Dublin",5.0,"Enable you to be your best, hire the right people, endless opportunities within",Sometimes work can be repetitive and a lot can be on your plate at one time,Be the first to find this review helpful
21,"Awesome place to work, don't hesitate!","Jul 22, 2021 - Account Director in Melbourne",5.0,"Amazing culture, product and people",No cons at this stage,Be the first to find this review helpful
22,Supportive Nature,"Oct 24, 2021 - Anonymous Employee",4.0,Work is good and balanceable,Nothing bad to share it.,Be the first to find this review helpful
23,"Amazing Company, always growing, fantastic culture","Feb 20, 2021 - Senior Program Architect in London, England",5.0,Working as a PA is very rewarding. You get to make a big difference to Salesforce Customers. If you like to be at the cutting edge and have a keen interest in technology - the PA role will be a good fit. The ohana at Salesforce is amazing the benefits are good and the leadership are supportive and driven to ensure you are successful.,"You must be happy to work alone in customer engagements, the role will cover the breadth of the platform and a good understanding of the platform is essential.",1 person found this review helpful
