,title,author_info,rating,pros,cons,helpful
0,Great culture and community balance makes this is special,,5.0,People are great to work with Emphasis on giving back Paid fairly for work,Sales is stressful but that’s anywhere. You’re hired for a reason so the expectation is you can execute and close business.,Be the first to find this review helpful
1,The real deal - top software company that stays true to core values,,5.0,- incredible culture - best in class platform and marketing team - opportunity to do meaningful work - great benefits,- change is the only constant so you must be comfortable being uncomfortable,Be the first to find this review helpful
2,Wonderful place to work,,5.0,-learn from the best of the best -selling a solution you believe in -company mission,-just a number -not always recognized,Be the first to find this review helpful
3,No longer a good place to work,,2.0,-Good pay -Good benefits -Nice office space,-No time to enjoy the perks -Lots of pressure from management who don’t take the time to figure out why teams aren’t performing -Poor work like balance -Poor support from management -Employee surveys are not anonymous,17 people found this review helpful
4,Just another cog in the tech machine. You don't matter.,,1.0,"Benefits, meeting other unhappy colleagues who helped me during my terrible experience at Salesforce","Another tech giant trying to spread the company culture kool aid but doesn’t recognize or address terrible leaders and managers or self appointed “lead EAs”. Very toxic, backstabbing politics going on amongst executive assistants which creates an entire group of disgruntled, distrustful, and power hungry EAs and makes most EAs carry a bad reputation at Salesforce. Execs and managers who have EAs: some of them need serious management training and learn how to treat everyone under them fairly. This was by far some of the worst treatment I’ve ever seen from an exec who had an EA. Micromanaging, having other people spy on the EA and report back to him about the EA's whereabouts and movement.. The EA was treated like a prisoner. Also, there are some EAs who support C-level people and they act as if they are the exec's themselves. They wield their execs' status for their own power and control over others. It's ridiculous and I don't know if the execs who have EAs even know that their EAs are doing this. I hated working with any execs who had EAs. It was always a massive hinderance to my work progress. I don't understand Salesforce and the EA culture.. some are really great EAs but some are terrible and unfortunately they are the EAs at the top.. usually supporting SVP and up. I wouldn’t buy into their culturally appropriated “OHANA” and other Hawaiian sayings. It’s all a facade.",22 people found this review helpful
5,Egos are as large as new tower,,2.0,Good product vision. Phenomenal following and loyalty of clients.,Too many managers worrying about getting ahead and looking good vs focus on clients and employees. Degrading behavior and not recognizing or acknowledging different experiences and views. Only select few making money,19 people found this review helpful
6,Amazing company to work for,,5.0,"-The core values of Salesforce really show in the day-to-day, making you truly feel valued as an employee -Wonderful management who cares about your future, consistently having career projection conversations","A little bit overloaded with work, but better to have too much work, than not enough. Also need to get certifications which is very difficult when you're working full-time.",Be the first to find this review helpful
7,Love this place!!,,5.0,"the culture is so ""good"" for you; it makes me a better person",no cons for me to state,Be the first to find this review helpful
8,Loving work (and life) at Salesforce,,5.0,- Remote friendly company that equips team to succeed - pay is good - market leader so lots of activity from deal perspective - wide product set to sell - innovative and relaxed culture - lot of resources to help get the job done,"- monthly forecasting (big company, high accountability to monthly numbers) - sometimes hard to navigate but overall people are willing to help - product is highest priced in market (good and bad, very competitive space)",Be the first to find this review helpful
9,cut throat culture,,3.0,nice perks at all levels,terrible leadership across the company,10 people found this review helpful
10,Great,,5.0,The job itself is very manageable and prepares you well for a future in sales.,The management can be a bit strict with PTO,Be the first to find this review helpful
11,BDR,,4.0,"Pays well, a lot of autonomy to do your job",Not many cons. Must multitask well!,1 person found this review helpful
