,title,author_info,rating,pros,cons,helpful
0,Best place to work,"Oct 15, 2020 - Lead Solution Engineer in Dallas, TX",5.0,Fast paced high growth enviroment,No work life balance in sales,Be the first to find this review helpful
1,good copany,"Oct 15, 2020 - Platform Architect in San Jose, CA",5.0,salesforce a very good employee friendly company,nothing i can think of now,Be the first to find this review helpful
2,About what you'd expect,"Aug 17, 2020 - Anonymous Employee",4.0,"Pay is decent. It would be great were it not for the obscene cost of living in the Bay Area. Most departments are okay with relocation, but that almost always comes with a significant pay cut. The benefits are amazing, especially if you take advantage of the stock purchasing plan, or need time off for maternity / paternity leave.",Politics are front and center. The woke activists graduated from university and now run the show. Anyone deviating even slightly from the leftist narrative is deemed problematic.,2 people found this review helpful
3,Well Organized,"Aug 4, 2020 - Software Engineer Intern",5.0,"They have a huge emphasis on ethics, morals, employee mental health and well being, all while being a great software company.","They seem to be entirely B2B, so the software work might not be the most exciting if you enjoy working on customer facing products",Be the first to find this review helpful
4,Good,"Feb 19, 2021 - Member Of Technical Staff in San Francisco, CA",4.0,Great great great great great,Nothing noting nothing nothing nthing,Be the first to find this review helpful
5,"Great culture, work/life balance is a struggle","Jan 14, 2021 - Senior Manager in Chicago, IL",4.0,growing business great people great culture and benefits,no work/life balance very fast-paced can take a long time to move to another role,1 person found this review helpful
6,Awesome Company to work for,"Jul 17, 2020 - Principal Support Engineer",5.0,Awesome company and culture Great Learning Opportunity So many opportunities to grow Innovative approach on products Amazing Leadership and their support Good PTOs Recruitment process was very nice Responses from the HR and Recruiter was timely Interview schedules were planned well in advance and gave advance notification about the interview rounds,Not applicable since I haven't come across any cons.,Be the first to find this review helpful
7,SF review,"Jan 31, 2021 - Sales Associate in New York, NY",4.0,Good Working Culture All Around,Low compensation for the current role I am in,Be the first to find this review helpful
8,"Great people and values, inflated titles","Jan 27, 2021 - Enablement Consultant in Chicago, IL",4.0,Cool and very smart people,Lots of inequality of titles and pay. No consistent metrics for grades,Be the first to find this review helpful
9,Great company,"Feb 9, 2021 - Anonymous Employee in San Francisco, CA",4.0,"Strong culture, great facilities, I learn a lot!",Haven't experienced any real cons yet!,Be the first to find this review helpful
10,Outstanding place to work!,"Oct 2, 2020 - Vice President in San Francisco, CA",5.0,"So many positives and such an inspiring place to work. The culture is real, inclusive, and very much about giving back. Executives are transparent and the company strives to align on a very regular basis.","Of course as we get bigger, more process is needed. The company strives to keep an entrepreneurial culture and a fast-moving pace, continually redefining and optimizing processes to avoid getting bogged down.",Be the first to find this review helpful
11,Outstanding Company to Work For!,"Oct 2, 2020 - Strategic Account Executive in Dallas, TX",5.0,"Great environment, for a large company, amazingly nimble to react and innovate. Smart, assertive people everywhere with a great culture. Great balance in focusing on meeting performance objectives and making the world a better place...",Some amount of bureaucracy which is to be expected in a company this large.,Be the first to find this review helpful
12,Great Company,"Oct 2, 2020 - Software Engineer in San Francisco, CA",5.0,- Good People - Good Management - Good Salary,- Not many - A bit of a corporate culture,Be the first to find this review helpful
13,excellent experience,"Oct 3, 2020 - Director in San Francisco, CA",5.0,"culture, attitude, people, learning, meals.","bureaucracy, size too big, no other downs",Be the first to find this review helpful
14,Good for the most part,"Oct 16, 2020 - Manager Technical Support",4.0,Excellent benefits and good people working to work with,"Due to the size of the company, lots of processes and procedures dictated that are not always best for the customers or the employees.",Be the first to find this review helpful
15,Good tech job,"Oct 16, 2020 - Associate Product Marketing Manager in Atlanta, GA",4.0,"Great benefits. As long as you're on the right team, a great work environment with the ability to get hands on with great projects.",Office politics and favoritism is definitely a thing I've seen in some groups.,Be the first to find this review helpful
16,Great working at salesforce,"Oct 16, 2020 - Vice President Sales in New York, NY",4.0,"great culture, great solutions, great senior leadership","work life balance, increasing bureaucracy",Be the first to find this review helpful
17,Great company,"Oct 15, 2020 - Senior Technical Consultant in Salt Lake City, UT",4.0,Great company that cares about their employees,Large company with slow recruiting,Be the first to find this review helpful
