,title,author_info,rating,pros,cons,helpful
0,Account Executive,"Apr 17, 2022 - Sales Executive in Mumbai",3.0,- great work culture - even with competition in terms of pay,- no easy lateral movement in SF,Be the first to find this review helpful
1,Great company,"Apr 3, 2022 - Product Manager",5.0,Truly care about people and their growth,Remote work can be hard to find,Be the first to find this review helpful
2,Amazing,"Apr 3, 2022 - Anonymous Employee in Sydney",5.0,"Flexible work, enablement, family feeling, amazing company events, Inspirational CEO and leaders, diversity and inclusion, promotions and career progression","Nothing, this is the best company I have ever worked for",Be the first to find this review helpful
3,Great company,"Apr 16, 2022 - Software Engineer",4.0,Good work life balance for freshers,Not much to say really,Be the first to find this review helpful
4,Best company I've ever worked for,"Apr 1, 2022 - Account Executive",5.0,"Personal development, Meaningful work, Talented colleagues, Value driven, Very focused on personal and mental health of their employees, Marc Benioff is just the bomb","You need a good work-ethic, be professional and effective, and take care of yourself. It is easy to get lost in work.",Be the first to find this review helpful
5,Awesome company,"Apr 2, 2022 - Product Manager",5.0,All good about this company,No Cons experienced till yet in the company,Be the first to find this review helpful
6,Terrible mid management,"Apr 12, 2022 - Account Executive",3.0,"Company values, drive and customer focus are clear at global level.",Regions are lacking 100% committed on global strategy and values. Some management are incompetent and two-faced.,2 people found this review helpful
7,Good culture - if you drink the coolaid,"Apr 14, 2022 - Anonymous Employee in London, England",3.0,"Good benefits, team members were great and very dedicated. Well located",Business models are confusing. Left hand doesnt have a clue what right is doing! Some strange ideas around transparency.,1 person found this review helpful
8,supporting function,"Mar 31, 2022 - Manager in Madrid",5.0,"Great product, great values, great people",great growth expectations put high pressure,Be the first to find this review helpful
9,Amazing company to work for!,"Mar 31, 2022 - Senior Project Manager",5.0,Amazing company to work for!,It is required to be agile,Be the first to find this review helpful
10,Great cultire,,5.0,Great culture great people and fun,Challenging for internal promotions over external,Be the first to find this review helpful
11,Simply sensational,,5.0,Couldn’t ask for a better role or company to work for,Minimal as such an epic company,Be the first to find this review helpful
12,Great,,5.0,Good work environment with helpful team,Not as such but changing location,Be the first to find this review helpful
13,Great,,5.0,Good work envo Nice to work,Working is bad See you later,Be the first to find this review helpful
14,Solution Engineer - Salesforce,,5.0,great work environment supportive account teams solid enablement provided,very fast pace environment salaries could be more competitive compared to the industry average,Be the first to find this review helpful
15,Amazing work culture..steep learning curve,,5.0,Amazing work life balance Lot of opportunities to switch to new roles and managers are very supportive with one's personal career aspirations,Nothing asof now. All good.,Be the first to find this review helpful
16,Great company to work,,4.0,"Generous benefits, flexible work environment.","Sometimes cannot control the schedule by myself, just depends on Account Executives who work together. Not really technical oriented - some people even can’t read code, or hesitate to. Not sure the product is really unique or not, there are many alternatives, and many clients have to customize the feature they need independently.",Be the first to find this review helpful
17,"Great Company, Day to Day just ok",,3.0,"- Salesforce has a great product and growing suite of products to sell. Most customers and new leads are happy to speak to Salesforce. - Great earning potential, obviously if you are doing well, but even if you aren't, product spiffs and bonuses can help towards making your OTE. - Benefits cover almost everything you can think of. Highest education reimbursement I've seen in tech companies. Base pay in esmb could be improved, but it depends where you are in life if you value the cash or benefits more. - Room for promotion (it can be slow, but no slower than most big tech companies). - A no brainer move if you aren't already in the tech industry- one of few tech companies that seems to be open to hiring non tech sales backgrounds. A lot of the cons below happen everywhere so you may as well benefit from Salesforce's great benefits and commission. - Their selling methodology isn't for the faint hearted, but you genuinely will learn a lot about selling.","- There are 4 layers of management between you and the person who manages SMB . All these layers are forecasting to each other and it just seems to fuel the micromanagement activity and meetings for the sake of meetings culture. - Managers only care about their team number and really don't care about how you are doing individually. Leads to micromanagement when the team isn't doing well. If you are doing well, there's no real incentive for you to do better for the sake of the team, it's just what your manager wants. - Territories and verticals are very uneven. Best territories given to more tenured AEs which happens in a lot of companies, but makes your first year difficult to succeed without some luck. - Really not much culture day to day. There are team dinners and days out but not much is done to create a sense of fun in the job itself. This was the same even in the office. - No recognition outside of $ closed. - Apart from one or two, the product specialists only seem to want to help when your deal is about to close.",6 people found this review helpful
18,NA,,3.0,Amazing benefits which I have not seen from previous employers,"unrealistic targets, many don't meet their budget",Be the first to find this review helpful
19,CSG team(Vlocity) - DO NOT JOIN,,1.0,"Only pros is you get to enjoy the benefits of Salesforce, you get the brand name of Salesforce","Salesforce CSG team(Vlocity) is worse than start-up. I joined couple of months back with very high hopes and tons of excitement but resigned without completing a year because of their work culture, rude & arrogant managers, no work-life balance, micro-management, no process in work, and many more. They don't follow the Salesforce standard. Before you join this team ask people over LinkedIn already in this team. Once you join your life will be hell for sure",5 people found this review helpful
20,Great place to work,"Apr 3, 2022 - Solution Advisor",5.0,Benefits and salary Uncle benny’s expenses,Shark tank sales environment can be stressful,Be the first to find this review helpful
21,Good WLB. Too much legacy infrastructure and codep,"May 2, 2022 - SMTS Software Engineer in Hyderābād",4.0,Good WLB Average Pay Managers are supportive,Too much legacy code. Monolithic infrastructure make is too harder to adapt. Perforce and their build infrastructure is a pain. Less growth opportunities. Little technical growth.,1 person found this review helpful
22,I love it here so inclusive,"Mar 24, 2022 - Associate Solutions Engineer in London, England",5.0,"- I love working here, super diverse and loads of talented people",- no cons that I can think about,Be the first to find this review helpful
23,Very competitive benefits/company,"Apr 3, 2022 - Senior Technical Consultant",5.0,- Health insurance - Car allowance etc.,"None at the moment, can't evaluate it.",Be the first to find this review helpful
24,Simply sensational,"Mar 30, 2022 - Business Development Representative",5.0,Couldn’t ask for a better role or company to work for,Minimal as such an epic company,Be the first to find this review helpful
25,ABOUT COMPANY,"Mar 24, 2022 - Anonymous Employee",5.0,Great culture to work at.,Needs to provide competitive salaries to Customer Support Group folks. Too low Salary and high expectations from Developer Support Engineers.,Be the first to find this review helpful
26,AAA,"May 23, 2022 - Account Executive",4.0,"Well treated, good salary, fair manager",Can be high pressure at times,Be the first to find this review helpful
