,title,author_info,rating,pros,cons,helpful
0,Marketing Machine,"Jul 30, 2020 - Business Development Representative in Chicago, IL",2.0,- Looks great on resume - Decent training,Do a quick search of Salesforce marketing spend compared to other big tech companies and you’ll see why working here is such highly touted. The company has shown its true colors during the covid pandemic. Impossible quotas as is with no quota relief during pandemic. BDRs are measured by how much Monopoly money they put into Salesforce and how buddy buddy they are with their AEs. The company says one thing to the press but treats its employees a completely different way. I have not felt any instance of “Ohana” since being here even though I was super excited to work for Salesforce. BDRs feel as if it’s them against the world at this company and have to deal with AE ego on a consistent basis.,4 people found this review helpful
1,My Favorite Top Tier Company,"Jul 19, 2020 - Lead Member of Technical Staff Software Engineer in Raleigh, NC",5.0,"Competitive, inclusive, fun, quirky, ambitious","Sometimes chaotic, expected technical debt",Be the first to find this review helpful
2,Great place to work,"Jul 17, 2020 - Senior DevOps Engineer in San Francisco, CA",5.0,"awesome environment, great people, optimistic","none, perhaps a bit hectic and pressure",Be the first to find this review helpful
3,Awesome Company to work for,"Jul 17, 2020 - Principal Support Engineer",5.0,Awesome company and culture Great Learning Opportunity So many opportunities to grow Innovative approach on products Amazing Leadership and their support Good PTOs Recruitment process was very nice Responses from the HR and Recruiter was timely Interview schedules were planned well in advance and gave advance notification about the interview rounds,Not applicable since I haven't come across any cons.,Be the first to find this review helpful
4,"Smooth onboarding, Awesome company to work for.","Dec 6, 2019 - Director, Product Management in San Francisco, CA",5.0,"- Product guides the direction. This may sound like a given but most last tech companies, Engineering leads drive and PM support. - Benefits are great and help me find a good work/life balance - Going from a great company to Salesforce, working for a company that cares is so important to me. I get that so many times over here.","- In San Francisco. Not really a con, but I live in South Bay. Commute is long. Luckily they are WFH friendly.",67 people found this review helpful
5,6 months at Salesforce,"Jul 24, 2020 - Lead Member of Technical Staff Software Engineer in Bellevue, WA",4.0,"Very accepting environment (All about Ohana). Colleagues eager to help and learn from you. Very good offer. Immigration is very responsive. Well-budgeted training program (they fly you to San Francisco). Nice 15"" Mac laptop. Fully expensed company phone. Gracious stipend if you go on-call. Family friendly. Fantastic barista on 18th floor Seattle and SanFran. People-focussed management.",Ginormous code base - needs to be broken up. Team boundaries not well-defined(due to code base). Project duplication. Difficult to work with new technologies (due to legacy code base). Can't move fast (due to code base).,2 people found this review helpful
6,Loved the culture,"Jul 30, 2020 - Direct Support Professional in Chicago, IL",4.0,Nice salary Good benefits Saturdays and Sundays off,"Had to work on the week days, no time off at night.",Be the first to find this review helpful
7,One of the Best Places to Work in Sales,"Jul 14, 2020 - Commercial Account Executive in New York, NY",5.0,"Culture, Innovation, Inclusion, Customer Success, Talent, Collaboration, Resources, CSR","Long hours, Broad product offering, Account transitions",Be the first to find this review helpful
8,"Good company, depending on what area you're in","Jul 28, 2020 - Sales Representative in Chicago, IL",4.0,Strong emphasis on culture. CEO seems genuinely passionate about making the world a better place.,"Sales organization has clear winners and losers. Depending on what area you are in, and to whom you report, you can have a very good run or you can burn out in less than a year.",Be the first to find this review helpful
9,Great company,"Jul 27, 2020 - Senior Account Executive in New York, NY",4.0,great products and strong marketing team,multiple cloud specialists compete internally for account revenue,Be the first to find this review helpful
10,Laid off after 5 years,"Aug 28, 2020 - Technical Producer in Seattle, WA",1.0,Great colleagues and Good customers. Good balance,Dream job is an utopia. Laid off with other 1k or 2k people after 5 years of honored service. Don’t think SF will be on your side. Don’t believe the ohana culture. Only marketing scam.,30 people found this review helpful
11,Good tech job,"Oct 16, 2020 - Associate Product Marketing Manager in Atlanta, GA",4.0,"Great benefits. As long as you're on the right team, a great work environment with the ability to get hands on with great projects.",Office politics and favoritism is definitely a thing I've seen in some groups.,Be the first to find this review helpful
12,OK place to work.,"Oct 26, 2020 - Lead Software Development Engineer in San Francisco, CA",3.0,Some work life balance. A lot of technical areas to explore due to variety of acquisitions.,All the pains that come with being a big company. Not a lot of organic growth.,Be the first to find this review helpful
13,Solid Company With Tremendous Upside,"Nov 9, 2020 - Senior Client Partner in Atlanta, GA",4.0,Great people Excellent Benefits Solid Compensation including RSUs Well oiled machine,Preferential treatment to office employees Limited time to train given workloads Product gap between vision and reality,Be the first to find this review helpful
14,Account Executive Salesforce,"Sep 10, 2020 - Account Executive in Minneapolis, MN",4.0,Great people. Great products. Great culture.,So many changes with leadership and accounts it can be challenging to establish the depth of relationships needed to drive enterprise level deals to success.,1 person found this review helpful
15,"Great Firm, Great Culture","Jul 9, 2020 - Software Engineer in San Francisco, CA",5.0,Room for growth & collaborative team & Huge firm,"Although there are many snack options, they need to order new ones",Be the first to find this review helpful
16,So far a good first quarter at Salesforce!,"May 1, 2020 - Senior Member of Technical Staff in San Francisco, CA",4.0,"- Working with smart and energetic team. - Great breadth of technologies to learn and acquire new skill-sets. - A good work life balance, flexibility in work schedule and occasional wfh. - Regular conversations with manager and overall transparency across the board. - Company provides an internal career fair of sorts to help you look out for a change within Salesforce itself. No one looks down upon this and you are open to tell your manager about this once you feel stagnated with your current role.","- Too early to call one out, but I think the only downside so far could be attributed to certain teams not as easy to communicate with.",Be the first to find this review helpful
17,Great until they lay you off unnecessarily even if you are high performing,"Sep 24, 2020 - Associate Director in San Francisco, CA",4.0,"Benefits, ESPP, time off and bonus","Stressful, unthankful and the wrong people getting promoted",2 people found this review helpful
18,Great,"Dec 8, 2020 - BDR Representative",4.0,"Fast Paced, Great Team, Inclusive Environment","San Francisco, Large Company, That's it",Be the first to find this review helpful
19,Best decision ever,"Jul 6, 2020 - Event Planner in New York, NY",5.0,"amazing benefits, great pay, and FTO",huge company takes a minute to get the lay of the land,Be the first to find this review helpful
20,One of the best organizations I worked for so far!,,5.0,Onboarding was well organized. Salesforce is a large company that offers great stability and career opportunities.,"Office culture, but COVID has proved (and I hope), that it may be possible to work remotely effectively.",Be the first to find this review helpful
21,Ohana is on point,,5.0,- Great benefits - Extensive training on all products - Great Team atmosphere,- The comp structure is convoluted; there are some metrics that you can control and others you are at the mercy of the AE you're setting meetings for,Be the first to find this review helpful
22,Best decision ever,,5.0,"amazing benefits, great pay, and FTO",huge company takes a minute to get the lay of the land,Be the first to find this review helpful
23,Great culture!,,5.0,"Hiring process is very well-structured and organized. The culture is so positive and laidback! Flexible PTO, Mental/Physical Well-being benefits, great colleagues!","No commuter stipend, no student loan repayment",Be the first to find this review helpful
24,Absolutely the best company I worked so far,,5.0,1. Amazing people and culture 2. Organized and structured onboarding experience 3. Abundance of learning before getting to the job 4. A complete care for the employee 5. Leadership transparency,None that I can think off,Be the first to find this review helpful
25,It lives up to the hype,,5.0,- Great career progression -team focus -comprehensive benefits -opportunities to volunteer,I dont have anything negative at this point,Be the first to find this review helpful
26,Toxic and flawed work environment in sales recruiting (and recruiting in general),,1.0,Great company to have on your resume Learn how to balance a high volume workload Overtime pay,"During my time here, I've witnessed countless examples of discrimination and inappropriate comments from management, specifically my manager. This behavior is accepted. Salesforce is not a company that welcomes open, honest dialogue and feedback. If you disagree with management in any way, expect retaliation. There are people in management positions who have no business being there. When you have questionable leadership, it causes many issues and problems that go unnoticed. In my case, I was subjected to report to someone who lacks the basic qualities a good manager must have: empathy, understanding, active listening, patience, strong communication, transparency, and loyalty to your team. Don't expect any of those qualities in many of the managers at Salesforce. The managers here continue to ""kick down and kiss up"" to get to where they are today. My manager lacked maturity, basic professionalism, and self-awareness . He has said some derogatory things about women, made incredibly inappropriate comments on team calls, and speaks to some of the females on his team in such a brash, disrespectful manner. It did not help that the person he reported to, the next manager in the line of management, was inherently cold and disconnected. I have never seen such self-serving managers in my professional career. The recruiting managers and leaders will never have your back. Example: If a candidate feels as though he/she should have gotten a job they interviewed for and chooses to retaliate against the recruiter ( example: write a bad Glassdoor review and name you), recruiting leadership will reach to place blame on the recruiter. Bad Glassdoor review = bad for the brand and the ""brand"" is #1 priority at Salesforce. EVERYTHING that is done at this company is done as an effort to strengthen their brand. It's all for show. All they care about is being perceived as ""a company that cares"" with an ""Ohana"" culture, when in reality, it is all about optics and concealing an incredibly abusive, toxic culture. Be prepared to also have a manager that takes credit for your success. You did well because they ""set you up for it"" and ""coached you."" (During my entire time there, I have never learned anything valuable from my first line manager - with the exception of what kind of manager I will not be one day) Recruiting here is a factory. It's all about pumping out hires quarter after quarter and hitting an arbitrary hiring number at any expense, even if you have to bend the rules a bit. Example: having people have start dates when they're still employed at their current employer, pressuring sales candidates to start immediately without giving a notice period to their current employers and using manipulative tactics like saying ""If they really want this job, they will make it happen""...etc. Salesforce hires most - if not all - recruiters on contract first. They reassure you that the contract thing is just a Salesforce formality and should you be a perform well, you will be converted in a year or less. I saw first-hand a couple of very high-performing recruiters get let go simply because they refused to play the ridiculous political game that is expected of you. Recruiting here is a rat race and lacks any nuance or creativity. As a recruiter, you do not have a voice or opinion. You are a sheep in the herd following the leaders. The ""leaders"" only care about branding, how the company is perceived, and how they themselves look to their leaders. They care very little about the actual recruiters doing the work. Recruiters are at the very bottom of the totem pole. If you hint at any disscontempt with your role, team, manager, company - you will be shunned. I can't speak for all of the recruiting teams and the entire company, but this is my honest feedback about Sales Recruiting at Salesforce. I wanted to provide honest feedback to future candidates who are considering leaving full-time roles for this often unpleasant role. If you choose to, use this as a resume booster if you're trying to break into the tech industry and then get out. Understand that the behavior you will witness there and the treatment you will likely receive is not okay. This is not how respectable companies operate. There are so many better opportunities at other SaaS companies where you will be treated with dignity and respect.",40 people found this review helpful
27,Salesforce,,5.0,"Laid back culture, and good work life balance",No free breakfast lunch or dinner,Be the first to find this review helpful
28,Software Engineering at Salesforce,,5.0,The company real cares about its employees and gives good benefits,Slow processes and technical debt at a huge company,Be the first to find this review helpful
29,Good place to work,,4.0,- Good salary and benefits - Executive leadership have strong commitment to both business and social issues,- Fast pace and pivots can be challenging to navigate - Poor work/life balance,Be the first to find this review helpful
30,Furiously Fast and First Class,,5.0,"You will not find a smarter, more polished and respectful company on the planet! This company doesn't just talk the talk, it walks the walk. And the core values are demonstrated in every interaction at every level. Salesforce exemplifies ""Doing Well by Doing Good"" and expects every single employee to do the right thing by our customers and by the world. I could not be prouder to be part of the Salesforce family and feel like I hit the jackpot to land this role. I'm learning every day and surrounded by folks who are invested in my success!",Really none! It's very fast-paced and drinking from the firehose. But that's to be expected anywhere in tech!,1 person found this review helpful
31,Great company and role,,5.0,Company has great values and really values the employee to succeed. A lot of upward mobility and coaching a long the way,Large corporate company and hard to individualize plans for employees,Be the first to find this review helpful
