,title,author_info,rating,pros,cons,helpful
0,Great Company to Work For,,5.0,"Great benefits, culture, lots of opportunity.","Your manager/territory/account list will have a huge impact on your success, so relationships are key to protect yourself on those factors.",5 people found this review helpful
1,"Amazing Culture, Amazing People, Kickass Products",,5.0,"If you like working with really smart people, marketing-leading products that provide real value to your clients, a company that values your contribution and treats employees, customers, and partners as family, Salesforce is the place for you.",I've been here for 6 months and thankful every day for being here.,Be the first to find this review helpful
2,Very good work life balance,,4.0,Employee benefits are really good and Work life balance is good,"too slow in technological updates, particularly in infrastructure side though it is improving a lot now",Be the first to find this review helpful
3,Good for senior engineers,,4.0,Amazing benefits for the Indianapolis area. Great culture and work flexibility. Pay is better than nearby competitors but lags behind other major tech hubs.,"Little room for advancement in some of the sub-clouds, unless you worked at whatever company got acquired to create that cloud. Can be hard to move up or onto different teams of your own volition. Constant reorganizations of mid-level management make it hard to get established as a newer employee.",3 people found this review helpful
4,EBR - inside sales game,,4.0,Amazing training Great benefits Work with large companies and experienced sales staff,Very subjective quota measurement based on creating opportunities - can be completely gamed by having your Account Executive tip you off to conversations they are having and then letting you enter the opportunity in,2 people found this review helpful
5,Salesforce is a great place to work,,5.0,Great Place to work. Amazing work culture. Everyone I know is happy with their job there.,There is literally nothing bad I can say. Salesforce is an amazing place to work.,Be the first to find this review helpful
6,Not a great place if you plan to stay more than 18 months,,2.0,volunteering and giving back culture is awesome cool offices lots of learning,unnatural sales pressure to sell subscriptions- ACV sales reps do not typically stay at salesforce more than 2 years company has grown via acquisitions and many of the acquired cultures clash Not Stable- accounts and managers are constantly changing making this a challenging place to stay long term and build a career.,11 people found this review helpful
7,I love working at Salesforce,,5.0,"Smart people, great vision. We value trust above profits. We try to help our customers succeed.",Not an IPO. You're not going to clean up on exploding stock options.,Be the first to find this review helpful
8,Good culture - not very engineering centered,,4.0,- Great culture - Great benefits - Very stable,- Engineering/tech are not the main focus,Be the first to find this review helpful
9,"Strong growth, values, and industry leadership",,5.0,"I’ve worked at Salesforce for 14 years and it’s been quite a ride! The company is fast-paced, values-oriented, and full of opportunity. I’ve always felt confident that the company bases its decision making on what is right for our customers and the future of the company. People who are motivated, collaborative, and hard working will succeed here. As Salesforce has transitioned to a larger company, a lot of effort has been put in place to integration and foster collaboration across the company. Salesforce has maintained and strengthened its culture with growth, something that is not easy to do. It’s a pleasure to work here.","Salesforce is a large company, but you can find an entrepreneurial spirit and freedom in many of the smaller divisions in the company.",1 person found this review helpful
10,Chicago Office Needs Help,"Apr 12, 2019 - Account Executive in Chicago, IL",3.0,"Technology, Snacks, Travel. It is only the #1 place to work if you are not in sales- product, marketing, engineering, etc have it way better than the sales org.","Long hours, office culture, politics. The Chicago office needs attention, the politics involved in getting promotions runs rampant. There were multiple male sales leaders in the last year let go due to inappropriate office relations with females and younger employees. Need more women leaders here, they let one of the best female sales leaders go as well that a lot of women looked up to as a mentor and leader. They pit you and your colleagues against each other when interviewing for a sales promotion and makes it awkward and uncomfortable. They also hardly give any thanks or recognition.",8 people found this review helpful
11,Great place to work,"Apr 13, 2019 - Technical Support",5.0,"Great Benefits, people, and the culture is amazing",There is no cons for working here.,Be the first to find this review helpful
12,Awesome Place to Work as an Engineer,"Apr 12, 2019 - Anonymous Employee in San Francisco, CA",5.0,Interesting and Challenging work Friendly and Qualified co-worker Great work life balance Great growth opportunity Excellent overall benefits,No Free Lunch for Engineer,Be the first to find this review helpful
13,"fast paced, generous, and fun","Apr 26, 2019 - Senior Technical Writer in San Francisco, CA",4.0,"Great salary, benefits, and very positive and encouraging work culture! I'm working from home in Austin and travelling every few months to the San Francisco headquarters to work there for a week.","The rush of work is heavy and intense, and can feel a little like being thrown into the deep end to sink or swim.",Be the first to find this review helpful
14,Good place to work. Growing Fast!,"Apr 23, 2019 - Architect",4.0,Lot of opportunities. Great philosophy for giving back to the society.,Constantly growing... leads to an ever changing environment.,1 person found this review helpful
15,good place to work,"Apr 25, 2019 - Marketing Manager in San Francisco, CA",4.0,"Good salary, implemented Equality culture.",sometime feels too sales centric,Be the first to find this review helpful
16,Great Company,"Apr 10, 2019 - Anonymous Employee",5.0,"Lots of opportunity, Ohana Culture",None I can think of,Be the first to find this review helpful
17,"Huge, quickly growing company where it's hard to do good work","Apr 10, 2019 - Senior Manager in San Francisco, CA",3.0,"Salesforce is a hugely successful company hiring 19K people from 2018-2020. Visionary CEO Marc Benioff, created an idealistic culture where employees are paid to volunteer 50 hours a year, and the company matches their charitable donations up to $10K a year. At the company's San Francisco headquarters, employees have daily access to the best view on the West Coast, the 61st floor of Salesforce Tower. The workforce is generally smart, professional, and ethical. There are plenty of resources. Managers are on the whole receptive to new projects.","Because Salesforce is growing so fast – doubling its workforce and revenue over two years – many things get lost in the shuffle. Some teams have crushing workloads, while others are virtually forgotten. The prevailing infrastructure of the company is a parochial network of vice presidents operating independently. This leads to disconnection, and occasionally chaos. Teams duplicate work, work in contradictory directions, and compete pointlessly. Territoriality for budget and resources is rampant. There are no centralized checks and balances. If you have a bad or unethical warlord, you may be asked to do things that are counterproductive or even hurtful. The patchwork of fiefdoms across the company is so disconnected that many teams are unaware of similar teams within the company. Efforts to organize or connect strategies are met with resistance and sometimes hostility. A chief strategy officer with a team of connected project managers could address this, but many VPs don't want accountability. The result is work that doesn't rise above mediocrity. Salesforce is a great company comprised of dozens of mediocre companies. Those mediocre companies don't want to connect and be great because their leaders don't want to lose status. Once you see that you can't unsee it. Many workers grow cynical as a result. The famed ""Ohana"" (Hawaiian for family) doesn't penetrate the 300-yard stare of hardened coworkers who don't say hello in elevators.",7 people found this review helpful
18,Work life balance,"Apr 9, 2019 - Anonymous Employee",5.0,Great- great time while employed st this company,Nothing to complain about re this company,Be the first to find this review helpful
19,Truly an amazing company!,"Apr 8, 2019 - Talent Advisor in Indianapolis, IN",5.0,"Constantly learning, never a dull moment, latest technology at your fingertips, passionate team members, opportunity to grow your skillset, excellent benefits and industry leader with pay.",I have had a very positive experience so far.,Be the first to find this review helpful
20,Great Company to be a part of,,5.0,"Tons to learn, great experience to be had",Constant pressure to follow corporate message,Be the first to find this review helpful
21,Great place to work,,4.0,"Great environment, lots of opportunities",Not many . overall good place to work,Be the first to find this review helpful
22,Boiler room mentality,,1.0,Good benefits and greate place to work if your not in Small Business Sales.,"Micro managment, Boiler room mentality, Pipe generation is what they care about. Too many people calling on the same account. Your litterly fighting over the same customers. Can't work from home. No training offered, you have to train your self on everything. Onboarding is non excisting. High turnover in Small Business Sales. Customers are totally feedup with so many AE's calling on the same account. Salesforce does not believe in their own Ohana in smallbiz. There is no trust and managment don't care about anything but Pipe generation and sales.",24 people found this review helpful
23,Work life balance,,4.0,FTO Great Parental leave Understanding low level management,Lack of vision to push through large infra projects at the senior management level,1 person found this review helpful
24,Great Company,,5.0,The culture and vibe and dogs,have to go home sometimes,1 person found this review helpful
