,title,author_info,rating,pros,cons,helpful
0,Your experience here depends on luck,,3.0,"good brand name on resume, fast paced, you can learn a lot, smart coworkers. nice office. competitive salary.","Very top down company. Constantly changing directions with unreasonable deadlines to deliver--then change again! Every project is a fire drill. Frequent re-orgs, highly competitive and political, back-stabbing culture. Lots people burn out and quit. If you happen to end up in a team with a good leader who is part of the 'in-crowd' with his/her top management, you will probably do well. But again, that can change without much notice since re-orgs happen every 3 months. Think before you join. Not bad to get it on resume then move on",10 people found this review helpful
1,Tax Intern,,5.0,"Salesforce invests a lot into their employees. They want every member of their team to feel appreciated, excited to come to work, and to have the opportunity to change departments if they do not feel their current role is for them. The employees themselves are, for the most part, intelligent, engaging, and truly excited to work there. It is a great community of people to work with.","In the short time I was there, I did not find any downsides.",Be the first to find this review helpful
2,Best place I've ever worked!,,5.0,"Great company culture, great benefits, awesome management.","Relatively low pay, Not cutting edge technology.",Be the first to find this review helpful
3,tech areas,,4.0,"Everything is good if you really love data work. I mean, anything related to big data. Benefits are fine","Kind of boring if you stay long. Not so many choices, and not flexible in areas you are interested, so it really depends on your interest.",Be the first to find this review helpful
4,Sales Engineer,,5.0,One of the best companies to work for.. awesome culture and people. Company takes care of its people. Opportunities to grow. Pay scale and benefits are very good.,None in my opinion. Salesforce is a great company and good people overall.,Be the first to find this review helpful
5,Sales,,5.0,Great company to work for.,I can't find any at this time,Be the first to find this review helpful
6,Business Analyst,,5.0,"This company truly cares about and invests heavily in its employees. I've never met an unhappy employee! Everyone is extremely supportive of each other's careers. You learn a lot just within your first few months and its very rewarding. The company's philanthropic model is so inspiring, and you feel like you're actually making a difference while still working at a Fortune500.",Regular issues you face at a large corporate like company. Not very easy to move up but there's still ample opportunity.,Be the first to find this review helpful
7,Software Engineer,,4.0,very good work life balance,techniques are not that interesting,Be the first to find this review helpful
8,Leader in Business,,5.0,"Company is laser focused on customer success, leadership, innovation and giving back. Despite our size and growth trajectory we remain fast and nimble. Being part of a high growth company whose mission is in the business of making the world a better place offers a playground of career opportunity and meaningful work. Our 1:1:1 model is a huge differentiator. We live and breath giving back in our community. The passion and energy is contagious. You can actually feel the energy when you walk into our offices.",nothing.. continue to stay laser focused on big picture and reduce noise associated as we continue on our growth trajectory.,Be the first to find this review helpful
9,Software Engineer,,4.0,"Very good pay, good working environment. Most of the co worksers are very friendly.",Sometimes overtime is very pushy. Management is not very clear. Different people might lead you at same time.,Be the first to find this review helpful
10,From riches to rags,,2.0,Great company 3 years ago. Then it tripled and went to the wolves. Work life balance is good. If you wanna sit and grow at a steady pace then it's great. Don't expect too many merit based incentives. Some free lunches. Easy to switch teams parallely. Vertical movement is easier for management. Horizontal movement is extremely scrutinized (they would rather hire inexperienced interns than in-house and train someone for a position) Company stocks are great. Bonuses are ok. Company has still a lot of room to grow which is great for its workers.,If you are the kind of person who thrives on appearance and taking credit for others work OR if you're a manager. Then this is the place for you. Work is not connected to pay. The impression of work is. Manager are pretty much guaranteed promotions every year if they don't distribute their budget on promoting their hires. I've known developer who've left because of this and also conscientious managers who were tired of playing the devil. Tripled in size in 3 years and the culture is no more. Now it's a hodgepodge of Microsoft and oracle.,15 people found this review helpful
11,messy!,,3.0,great products. good marketing in the digital space.,remote employees such as me struggle to find info and support from headquarters.,6 people found this review helpful
12,Senior Manager,,4.0,Positive work place currently good,None that I can think of.,Be the first to find this review helpful
13,Great Company,,5.0,Awesome culture. Fast Growth,n/a. no cons from me,Be the first to find this review helpful
14,Solutions Consultant,,4.0,"Great culture, comp, and perks. Work is always interesting and challenging. There is always something new to learn, and always someone willing to teach.",Large company with normal issues that come with size.,Be the first to find this review helpful
15,Amazing Company,,5.0,"Innovative, fast paced, great fun culture that cares about employees",Need to improve work/life balance,Be the first to find this review helpful
16,Highly recommend,,5.0,"Employees are treated as the #1 stakeholder and valued greatly. Theres a huge emphasis on career growth and employee services. There is a high emphasis on delivering results, but also good work life balance. Management is approachable and employees are passionate about what they do and are generally happy to be there.",Headcount is growing rapidly and at times feels like youre losing the community feel the company is known for. Could be difficult to maintain company culture.,Be the first to find this review helpful
17,great organisation,,4.0,"helpful, lots of nice people in there","bureaucratic at times, too many boxes to tick",Be the first to find this review helpful
18,Great,,4.0,Great company. Good scope for learning,Not good pay and benefits. HR people are liars,2 people found this review helpful
19,"Challenging and fast-paced, but great company to work for",,5.0,- Every day is challenging - Flexible hours/time off - Good pay and benefits - Highly collaborative - Easy to change roles/teams,- Stressful - Some managers are of questionable quality - Company having a hard time accepting that it's not a startup anymore,Be the first to find this review helpful
20,Awesome Company!!,"Aug 16, 2015 -",5.0,"This is an awesome company to work for! Great people and workplace environment. If you get bored or don't like your current position, there are many opportunities to try a different team.",I haven't been working here for a long time but so far I haven't seen any cons.,Be the first to find this review helpful
21,Awesome place to work,"Aug 11, 2015 - Manager in San Francisco, CA",5.0,"Best CEO, Best technology and Best Place to work. Still operates as mini startup though its a big company",Nothing i could think of. Its a great place to work,1 person found this review helpful
22,Love this place!,"Aug 14, 2015 -",5.0,"Cool tech, great pay, bonuses, stock, health allowance, free devices, on and on...",Not much worth a mention,Be the first to find this review helpful
23,Great company- if a bit corporate,"Aug 28, 2015 - Product Expert in San Francisco, CA",4.0,"Salesforce runs like a well oiled machine, which can be refreshing if you're coming from start-up chaos. They give you lots of options and support for career development/advancement. Work/life balance is good, and benefits are comprehensive.","This is a big company that focuses mostly on B2B tech, so it can feel very corporate. Vibe depends on which division you're in.",Be the first to find this review helpful
24,Great place to work at,"Aug 28, 2015 - Intern in Marlboro, NJ",4.0,Great company outlook and culture,Limited professional growth opportunity and lots of red tape,Be the first to find this review helpful
25,A Lot of Opportunity to Make a Big Impact,"Aug 28, 2015 - Employee Success in San Francisco, CA",4.0,"* A lot of opportunity to innovate - fairly good level of empowerment to decide how to do to the work * Smart, energetic, passionate people * Flexibility to work from home or the office; great office space, including the option to work from different ""campuses"" around the area; love the free barista-made coffee","* Would like to see more accountability for being great managers * Be great to have a real gym in our building (do get a fitness studio (no equipment) and gym discounts) * Better, healthier, more snack and lunch options, including a true cafe",Be the first to find this review helpful
26,"Chill place but no ""engineering excellence""","Jul 31, 2015 - Anonymous Employee in San Francisco, CA",3.0,The best thing about working here is that it's relatively relaxing as the company is doing well. The company is generous about your hours and let's you do things like volunteer your time.,"That being said, seriously, most people that work here are hacks and idiots. It's 2015 and they're building software like it's still 1998. Don't expect to come here and learn anything other than how to pass the hot potato. You'll spend 95% of your time doing ""keep the lights on"" work, fixing messes that were created 5+ years ago but people were to dumb to notice. Those people who made those messes are no in key, influential positions within the company, where their questionable decision making has maximum impact to shoot themselves in the foot.",14 people found this review helpful
27,AE Role,"Aug 27, 2015 -",4.0,"lots of growth opportunities, good pay, ability to impact customers business for the better.",lots to learn and things are always changing. high quotas.,Be the first to find this review helpful
28,Good and bad.,"Aug 19, 2015 -",3.0,Compensation. Opportunity to learn. Dynamic environment.,Poor management. Lots of growing pains.,4 people found this review helpful
29,Great for the name and starting experience....look out for the Kool-Aid,"Aug 10, 2015 - Sales in San Francisco, CA",2.0,"- Salesforce has become the gold standard for B2B tech these days. No, recruiters won't be running to you, but you can feel ""validated"" as a sales person in the tech space after working there - The training for an entry level tech sales person is fantastic. They teach you how to approach opportunities/ accounts and push you to master these skills","- The Kool-Aid. You must LOVE the product, LOVE your team, LOVE your managers, LOVE the process. Oh, and you better LOVE going to happy hours, clubs and team outings with your coworkers. - Because of the terrible work/life balance, brown-nosing to get ahead is very very prevalent. There's a huge amount of gossip and ""buy in"" that's required. It's not a workplace for individuals, it's a workplace for THEIR individual.",13 people found this review helpful
30,Fantastic!,,4.0,Culture People Product Industry competition,"Nothing, this is a wonderful place to work",Be the first to find this review helpful
31,Amazing people & culture,,5.0,* Good pay. * Excellent coworkers. * Company really cares about it's employees. * Volunteering is encouraged.,* Not the smartest of folks on some of the teams.,Be the first to find this review helpful
32,Great Company o Work for,,5.0,- Benefits - Flexibility - Vision - Technology,- Keeping up with growth,Be the first to find this review helpful
33,Sr. Strategic Account Manager,,3.0,"Innovative, Customer centric, Aggressive sales, good incentives",Lack of career planning Oracle hires,1 person found this review helpful
34,Woking at SFDC,,3.0,"Young, energetic people to work with","If your boss is difficult, upper management won't care",9 people found this review helpful
35,"Great place, great memories!",,5.0,"I joined Salesforce in late 2007 and spent five great years there. Great teamwork, teammates, and top leadership. The product was and is still great, exciting as it evolves rapidly, and is brilliant in how easy it is to setup and manage. There was tremendous opportunity and rewards as it grew.","It got big - even bigger now. Still has a great culture for a 10K+ employee company, but getting the Oracle leadership in on the sales side, although necessary for the size and time to grow, stifled the culture a bit.",2 people found this review helpful
36,account executive,,4.0,"*great learning environment *lots of bright, innovative teammates *global offices with opportunities to transfer",*low base salaries in sales roles *saturated marketplace,Be the first to find this review helpful
37,Working less than a year,,4.0,- Good work/life balance - Good compensation - Good benefits,- QA role varies from team to team. Not very challenging sometimes. -,1 person found this review helpful
38,"Great Run, Great People",,4.0,- Customers are involved in cutting edge thought on marketing - some great people doing great work - Very Very talented people on staff,"- Talent Vacuum - after an acquisition, people tend to leave - Salesforce and ET Cultures both great, but very different",1 person found this review helpful
39,VP,,5.0,"Incredible culture, great benefits, many options for growth, top-notch CEO",Work life balance in sales is challenging. Poor job of using modern technology for marketing (heavy reliance on events),Be the first to find this review helpful
40,Beware of micro-managers and ass-kissing execs,"Aug 5, 2015 - in Indianapolis, IN",2.0,"Decent pay, good benefits, flexible telecommuting policy, nice co-workers","Transitioning from start-up to big corporation, execs are young and eager to please parent company in Cali by kissing up while transferring the stress to employees. Zero tolerance for mistakes but not giving any warning sign until the last minute before they fire you. Due to poor location excellent employees are few and far between, so mediocre but ass-kissing people get to stay. Managers are all great players of politics. Employees don't dare to speak their mind just to keep their jobs in the ""best"" company of the area. Mid-level people managers have no clue in managing so resort to micromanagement. Typical ""boys club"" culture with no advancement opportunity for female. Only those who play well with their managers and drink the Salesforce cool-aid will thrive. The V2MOM is a joke as performance review has nothing to do with it, meaning delivering results doesn't mean you are good enough. Fear of mistakes and risk averse mindset is suffocating the humanity and innovation this company once had.",7 people found this review helpful
41,Account Executive,"Aug 12, 2015 - Senior Account Executive in Atlanta, GA",4.0,"Great company! Super innovative, great pay, challenging, and you're constantly adapting. Lots of room to grow personally and professionally.","It's common you see reps kill it in a territory, and struggle to hit quota the next year due to territory realignment.",Be the first to find this review helpful
