,title,author_info,rating,pros,cons,helpful
0,Company Review,,5.0,"Ambiance, work culture, colleagues, career opportunity","not that I noticed, not noticed any",Be the first to find this review helpful
1,Account Executive ECS,,5.0,good company to work for,there can be a lot of pressure on the sale side,Be the first to find this review helpful
2,Sales Executive,,5.0,It's a great company with excellent products and a nice working environment. Fully recommend it!,I have nothing bad to say,Be the first to find this review helpful
3,One of the best teams to work in Salesforce - Demo Engineering,,5.0,"Salesforce is an awesome place to work. I was fortunate enough to work with few teams in Salesforce during my tenure. Demo Engineering was one of them so when I heard about some rumblings about this team, I thought of sharing my perspective. DE is one of the most amazing teams in Salesforce to work. It houses some of the best talents from the Industry with diverse cultural background. If you bring two things to the table talent and right attitude then irrespective of your gender, age or experience you get the spot on this team. I’ve seen leadership bring in lot of fresh talent with almost no experience but with right attitude. Also there have been cases when folks with not-so-great english were also given opportunity solely based on their talent. How to use technology to bring transparency in an organization is something one should learn from Salesforce. From number of demos you worked on, number of hrs you logged or even number of times your received appreciation, everything is open and accessible at each level from your peers to top global leadership. DE Team is entrusted with task of delivering successful demos where you are racing against time. There is lot of support and encouragement not just from leadership but even from within the team. During my initial days, team helped me learn and get up to speed with work. Whenever I was stuck with anything, team was just a call away. I’ve never worked in a team with such strong sense of ownership till now. During my tenure, India team was leader among global teams in delivering most number of successful demos. There is lot of focus from on your professional and personal growth. I’ve seen people getting nominated for various technical and leadership trainings. Also, Salesforce was kind enough to identify and sponsor trainings for folks who face challenge in communication. You are encouraged to create your own development plan keeping your talent and aspirations in mind. Leadership helps create various growth opportunities for each team member. There is guidance and coaching available for each member. I've seen successful transitions from this team into various roles within Salesforce and even outside. In their pursuit of giving back to society, Salesforce encourages each employee to volunteer. They not only provide paid time off for such volunteering activities but also give hefty sum of $2000 as a grant which each employee can donate. Volunteering activities are available throughout the year and employees are free to choose them as per their interests and beliefs. DE is one of the few teams in Salesforce where each team member proudly achieves their volunteering goals every year. Salesforce provides flexibility of work hours and work from home. Each team defines their own schedule and work hours keeping healthy overlap between their global peers. DE work hours in India are 9-5. At times you are required to get on a call with global peers late evening or early mornings but the folks are always considerate of the fact.",Nothing I could think of.,3 people found this review helpful
4,Senior Technical Consultant,,5.0,Working from home and flexibility. Good benefits Paid Volunteer time,I don't have any cons to mention up to now,Be the first to find this review helpful
5,Fantastic organisation to be part of. #dreamjob #ohana,,5.0,"1:1:1 model - employees are encouraged to take time to give back, even being given 6 days per year to take for this. Competitive salary #ohana culture - you really feel like part of something, and the organisation truly cares about its staff Innovation - it's easy to feel proud to work for a company who is the pioneer for what they do. Career development - you can have an entire career within the organisation, lots of roles and flexibility to move around.",Rapid growth means constant change - some may struggle with this. Internal systems struggle somewhat to keep up with the growth and constant innovation - we should be drinking our own champagne. The larger we grow the more careful we have to be about preserving our unique culture - this needs to be managed top down and newly hired leaders need to be on board.,Be the first to find this review helpful
6,Advice - Don't fall in the trap of Infra org positions!!,,1.0,- Great visionary CEO - Good compensation/Stocks - Food and snacks - 1:1:1 volunteering model and lot more...,"- Lack of Transparency in every thing, whether it is promotion, interviews, work etc. Promo - Collect feedback from your favourite people and get promoted to VP even if your sub ordinates or people working under you don't like your style of functioning. Just like typical Indian govt. office promo's where you throw money here you throw feedbacks. Interviews - Whom to hire for the position, what qualities to look for, what job responsibilities should be conveyed, no clarity. Hire and attract talent by throwing industry buzzwords like etc. containers, docker, kubernetes, etc and tell them to work on round the clock patching or deployment work. (No forum to raise this concern apart from glassdoor) - No clear vision from senior/mid senior management/infra leadership. People at bottom most level who don't know what they are supposed to be delivering in infra. Software engineers working on operations work to resolve switch issues and fixing racks, working with DC engineers. They don't have any clarity or vision of future from leadership. (No forum to raise this concern apart from glassdoor) - How to get all star award? Well there are lot of ways to achieve it: 1) Sit in US HQ office and screw things in production time and time again and get a all star award. If you do the same from Hyderabad then you will land into PIP (Performance improvement program). 2) Create a half baked software or an automation working in silo without taking any requirements from actual endusers. Create a hype around it, push it to prod with no proper testing, provide zero documentation, get stocks/promo's/all stars and then move out of the project to screw something else. - No alignment Work for some other team and report to someone else in the management chain who has no idea what are you doing. V2MoM of folks in hyderabad is more of marketing gimmick it fails to provide any alignment, clarity or vision for people working at the ground level. When you are asked to talk about it no ones know how to get it sorted, they just want to keep doing things the way they are because end of the day they are more concerned about there own promo's. (No forum to raise this concern apart from glassdoor)",24 people found this review helpful
7,Account Executive,,5.0,"Culture, money, people, career opportunities, benefits",Sales pressure.. and i dont know anymore,Be the first to find this review helpful
8,Engineer,,4.0,Great place to work here,Culture is slowly dropping down,1 person found this review helpful
9,Great place to work,,5.0,Working with Transformative technology that has no limits,Some growing pains in terms of processes but nothing that cant be overcome with some 121 Support,Be the first to find this review helpful
10,Best company I've ever worked for.,,5.0,"Amazing benefits, culture and environment.",Can't think about any yet.,Be the first to find this review helpful
11,Great place to work !!,,5.0,Core values Work culture work environment Employee benefits,I don't think of any....,Be the first to find this review helpful
12,Not a fan,,1.0,Free snacks sn end of quarter celebrations,"Bad management, poor hr, lots of clickiness, bad behaviour tolerated",15 people found this review helpful
13,Good Good Good,,5.0,Wonderful company. Lots of perks. Good!,Not much cons. Really good!,Be the first to find this review helpful
14,Perfect,,5.0,Best place to work in France,There is very high expectations,1 person found this review helpful
15,Driving Disruption in the Cloud,,5.0,Salesforce has a very clearly articulated value proposition and has some of the best Product Management & Engineering talent in the industry. The company also allows sufficient freedom to explore technologies etc and the 4 month cycle of cloud releases allows for continuous challenges and results. The company has very good employee benefits and values individuals.,Salesforce is extremely HQ centric . While not a complete con - A lot of the company's growth is fueled through inorganic acquisition as opposed to organic efforts within the company.,1 person found this review helpful
16,Lead Solutions Engineer,,5.0,"Provides great tools fo ra work life balance, VTO model, and the chance to work with the industry's smartest people building innovative solutions.","There is no shortage of work do to, it's very important to prioritize your work otherwise it could be overwhelming.",Be the first to find this review helpful
17,Pleasant experience,,3.0,They provide very good Company benefits,Environment. Employees abuses the freedom,Be the first to find this review helpful
18,Developer Support Engineeer,,5.0,Values Work culture Good management Amazing facilities Good pay Creative work,None I can think of,Be the first to find this review helpful
19,Key Account Director,,5.0,Product Acceptance in the market,Nothing I could think as of now,1 person found this review helpful
20,"great platform, great company, great values","Sep 12, 2018 - Anonymous Employee in London, England",5.0,"this company is focused on very clear core values: trust, customer success, innovation and equality. and employees live by them.","as we grow, sometimes there are too much organizational complexity",1 person found this review helpful
21,A huge family - ohana across the board,"Jan 29, 2019 - Senior Portfolio Success Manager in Hamburg",5.0,"- Great managers - Amazing career development and training possibilities - Benefits in and out of work - Ethical, fair company with tremendous growth - Exemplary on boarding process",- Size of the organisational structure can take getting used to,Be the first to find this review helpful
22,Salesforce culture eats the others for breakfast,"Mar 29, 2019 - Anonymous Employee in Dublin, Dublin",5.0,Culture is very can-do and supportive lots of opportunity A lot of fun,"No really significant cons as yet but everything seems geared towards very rapid growth. If, for some reason, the growth stalled Salesforce could be a very different place.",Be the first to find this review helpful
23,Great Company to Work For,"Oct 21, 2019 - Portfolio Success Manager in London, England",5.0,"Benefits, Flexibility, Smart Poeple, Great Product","Very fast changing environment, sometimes hard to keep up",1 person found this review helpful
24,It is a great place to learn!,"May 21, 2015 - Sales Development Representative in Toronto, ON",5.0,Career development - great managers. They really care and invest in you.,You have to be quick and ask good questions! The level of competition is high but that's a good a thing,Be the first to find this review helpful
25,NOC Analyst role - I worked as contractor on this position for 6 monts,"Nov 17, 2017 - in Dublin, Dublin",5.0,"OK work hours, ability to work form home, exposure to the new technologies.",Could think of anything that would make me question my decision to join them.,Be the first to find this review helpful
26,Best place to work!!!,"May 31, 2018 - SDR in Dublin, Dublin",5.0,Good salary Best in class Management Personal development is a key in the company Very intressting products to work with Ohana culture is present in everything the company does Outstanding work environment to grow,Office space could be nicer,Be the first to find this review helpful
27,Great company to work for!,"Oct 9, 2018 - Lead Solutions Engineer in Montreal, QC",5.0,"Salesforces really knows how to take care of their employees. They are passionate about taking care of their customers. Great culture, company is growing and there are opportunities for career changes.",Growing company with face pace - Changes could be constant,Be the first to find this review helpful
28,kiosk sales,"Mar 28, 2019 - Anonymous Employee",4.0,"Incentives, bonus and the job training",pressure to preform KPI's,Be the first to find this review helpful
29,"Exciting experience, a company that goes at the speed of light but can slow down to take care of its employees","Jun 12, 2019 - Sales Manager in Milan",5.0,you have the chance to see the future sitting on the front line,"training, care, challenge, respect for people just what I was looking for",Be the first to find this review helpful
30,Demo Engineering (India) is not a good team to join in saleforce,"Jun 18, 2018 - Designer in Hyderābād",1.0,"Salesforce as a company is really good, it has lot of employee benefit","-Director is not technical which means he will only judge you on how much you can flatter him/ He is very rude and manipulates our personal space. -They will tell people to bring expensive gifts and don't return the money. - Director firstly takes people who are not good in english and then insults them in public - Time schedule is 9-6 where reaching on 9 is compulsory but they try to make you work at late night/ Salesforce gives time to work for NGO but director plans it in a way that its on weekend to ruin your weekend. - HR (Hyderabad and Bangalore) is his friend so no complain can goes beyond these people. - They harassed people way too much (insulting in front of everyone, pressurized for exams, Community work, attending trainings, making PPT for director/managers work, etc all together. - Director has divided his task to all team members and watches videos in office - Director and manager with his HR friends are always out for lunch (which I feel was our team's budget) and take us out once or twice to a really cheap place, infact we are not allowed to go out for lunch because according to director it is waste of time. - If you are away from your desk for more than 15 min, you will get messages and calls asking where are you and come back soon. -Get leaves approved by director is such a pain, he converts your sick leave into annual. - Recently they started dutching money everyweekend and take people for pubbing where they drink alot and half of the team doesn't drink, so they drink from employees money -If you think you can get transfer within salesforce to another team, it will take you minimum 2 years and only if you can flatter the Director by giving details of employees which he can use against each of the member of the team when he wants to, come by 9 to office, do his PPT, keep notes of everybody's time, and all demoralizing stuff only then transfer can start. There are so many things, in short Director is psycho and wants to control everything, he shows things differently to Tod(manipulates content).",37 people found this review helpful
31,A great place to work but,"Jun 15, 2018 - Anonymous Employee in Hyderābād",4.0,"1. VTO - Voluntary Time Out - I was skeptical about this before joining, but I am so happy and proud that Salesforce encourages and facilitates voluntary activity among employees. The act of giving back is indeed there. 2. Smart people, It feels great to be surrounded by people who are smarter than you. 3. Very flexible working style and support work-life balance. 4. Competitive pay with amazing benefits and perks. My favorites are wellness and education reimbursement. 5. Work quality is good, got to work on some really cool products. 6. They encourage you to control your own career in fact you can transfer to other teams for an opportunity if you fit the bill. 7. The V2MOM process is their USP, I was surprised to see the leadership is living and breathing it and use it to bring alignment across teams. 8. They encourage employee well being, provide food, liberal leave policy includes paternal leave policy.","1. Poor onboarding of new employees. Esp. if you are part of a team that doesn't have a presence in Hyderabad or your Boss sits in a different office. 2. The recruitment team is not friendly/professional during the hiring process. The hiring process took almost 10 weeks and I had to call at least 10 - 15 times to remind them to release the offer (even the hiring manager confirmed I have been hired) 3. Information overflow (very poor signal to noise ratio). Sometimes you will be amazed at so many emails/chatter flying around you and you don't know what to do abou it. 4. The Employee Success Team (HR) needs to pull their socks up. As a new employee, I had faced several problems in the early days. I asked for help, but they were never there. It felt they just don't care.",2 people found this review helpful
32,Back office,"Jun 19, 2018 - Anonymous Employee",3.0,"Good benefit, flexible work time. People are friendly and open mind.",Difficult to find career path.,1 person found this review helpful
33,business development,"Jun 19, 2018 - Anonymous Employee",4.0,good salary good atmosphere good tools to work nice product to sell,too segmented takes a while to progress internally,Be the first to find this review helpful
34,Best Place I've worked,"May 30, 2018 - Anonymous Employee in London, England",5.0,"Progressive thinking, great products, real and honest focus on value based culture Truly flexible working and a relentless focus on customer success. Global leadership is strong and consistent with a wider remit to ""do good"" Management are good at saying thanks and recognising people for their efforts",Its pretty hard keeping up and the volume of information is huge and does not stop. As the company grows its becoming a little more difficult to navigate Dizzying array of communication channels to deal with.,1 person found this review helpful
35,Amazing place to work and learn!!!,"Jun 1, 2018 - Techforce Analyst in Hyderābād",5.0,Have lot of opportunities to grow and learn. Good facilities and benefits. Management is always there for you to support you and guide you. Giving back to community and society is one of the pillars of the firm.,"None, that I can think of right now!",Be the first to find this review helpful
36,Solution Engineer,"May 29, 2018 - Anonymous Employee in London, England",5.0,"Dynamic Environment, Loads of opportunities to shine with customers, prospects and events, Loads of things to learn, Very committed team, Great individuals and Great Flexibility on where and how to work.",Sometimes the information is too much to handle it properly,1 person found this review helpful
37,Sales has very high turnover and impossible growing targets,"May 11, 2018 - Sales in Sydney",2.0,"Great location, amazing benefits (health, gym, volunteering, shares), great leadership in US, jobs outside of sales seem great, lots of events and you will learn an lot","Very unfriendly, uncaring sales environment in enterprise sales - sink or swim attitude, don't care about customers just want to make the numbers and grow. Treat sales people like dispensable soldiers, hire 100, lose 50 hire another 100 - people arrive and just disappear a few months later, some only last a few months. Many of the leaders come from Oracle. Not many people make commission - targets are very difficult to achieve.",26 people found this review helpful
38,Senior BDR,"May 31, 2018 - London in London, England",5.0,great parties and fun family culture,too much admin all the time,Be the first to find this review helpful
39,Great experience at the begining not so much at all at the end,,3.0,"Great company, good products, super brand recognition, nice principles for operations","Regional management, not a real integration as a team for deliver the best experience to customers, good culture but not applied locally outside USA",4 people found this review helpful
40,Breath of Fresh Air,,5.0,"I am grateful to be apart of Salesforce and my team. The interview process was intense but a lot of fun and I am very much looking forward to bootcamp. Everyone has been fantastic and truly wants you to succeed. I was a little skeptical of the “Ohana” culture prior to my first day but it is for real. Yes, it can be stressful and even overwhelming at times but that is to be expected anywhere.",There are no cons that I have seen as of yet.,Be the first to find this review helpful
41,HYD office Management is WORST Working as a full time employee from past 2 years,,1.0,"1. Benefits : a. Free Cab, Food, b. Wellness reimbursement, Vision reimbursement.",1. No proper Hikes 2. complete politics based promotions and by the end of the day they will arrange a meeting and will tell some stories and add words called TRUST and TRANSPARENCY. 3. A lot of work pressure you need to work like a donkey. 4. All managers they will bring their brothers and relatives as employees even though they do not know ABC of Salesforce. 5. Managers will conduct the daily meeting with zero outcome and useless talks.,16 people found this review helpful
