,title,author_info,rating,pros,cons,helpful
0,Good pay and people,,3.0,Good pay if you do well Make lots of good friends Get lots of vouchers to spend on food & drinks,Very boring job High turnover,2 people found this review helpful
1,Amazing culture and colleagues all over the world. Opened minded and there is space for motivation and initiative.,,5.0,"Values, colleagues, benefits, management, opportunities",Company structure changes very often and you need to be able to adapt to it.,Be the first to find this review helpful
2,"Great Company, Great Culture",,5.0,"The people are amazing. You never feel like you are the smartest person in the room and get to learn constantly. Growth is exponential, you can forge your own career here.",The pressure to perform is intense. Very high expectations,Be the first to find this review helpful
3,"Driving Success, Doing Good & Doing Well",,5.0,"Ohana Culture; (Life Balance, Respect for People, Ability to Make a Difference) Customer Focus Work With Top Talent/People","Extreme Pace of Change/Growth (actually a good thing) but be prepared to embrace and contribute to change on a daily basis. Actively drive your path in this diverse, network based organisation and you will find massive opportunity to grow.",Be the first to find this review helpful
4,Great company,,5.0,Lovely company - very fast moving. I think it's really important to click with people on your team. Your experience at Salesforce really depends on your team and your manager.,A lot of politics. Management is not great about explaining decisions made on the business. Sometimes feel like all I do is work - it can definitely take over your life.,3 people found this review helpful
5,Brilliant company,,4.0,"Good perks, office atmosphere","Long shifts, overworked employees lack",Be the first to find this review helpful
6,"Good benefits, decent place to work, weird corporate culture",,4.0,"Very good benefits, competitive salary, good co-workers, good priority on giving back.","Management out of touch, insane corporate culture, non-existent career development, major layoffs.",3 people found this review helpful
7,Technical Architect,,4.0,Very flexible and friendly environment. Great perks and awesome ambience in office.,Being part of growing team means lesser growth opportunities after certain extent especially technical roles.,Be the first to find this review helpful
8,Complete Whirlwind,,3.0,Amazing friendships can be formed. The overwhelming first impression is just how warm and friendly people are. Lots of opportunity to learn new things. Education fund can be used very widely. Learn from the inside how this company creates the positive brand to the outside world. Benefits are truly amazing. £300 a month to spend on wellness is excellent.,"The pace. They seriously need to consider how they expect employees to keep going at the crazy pace. Stress and burnout at this company is concerning. Politics! Keeping 10-15 people aligned on your plan every time is exhausting. Not have the autonomy to work in the way you know you can is frustrating and due to the pace, you really only ever offer around 70%. Yet, the pace is mystifying knowing that there are so many people to do every little element of a job. Sometimes you are left wondering what you role actually is. I think some people make a career out of attending in-house ""events"". Old habits die hard and there are still (young) male sales managers that have high egos and do not treat people well - but they hit their numbers so all is forgiven. Never see head of HR at any events - yet people are so important?",14 people found this review helpful
9,Still inspiring me to be a better person and a better leader after 12 years,,5.0,"Continued thought leadership in technology, business, equality, philanthropy, sustainability, wellness, leadership. Opportunities for growth are outstanding - I am on my third career in 12 years within the same company, and eyeing up my 4th!",Becoming a large company comes with a reduction in agility - things can be slow moving sometimes and approvals / decisions can take a while. There are some inconsistencies in things like T&E spend between departments.,Be the first to find this review helpful
10,Very professional,"Apr 29, 2019 - Anonymous Employee",5.0,great company to work for!,"numerous interviews, but i personally do not consider it as a minus",Be the first to find this review helpful
11,Lead Business Consultant,"Apr 30, 2019 - Anonymous Employee in Sydney",5.0,"Innovative Company, Top of the list 500 Fortune companies, 1:1:1 philanthropic model and international and robust company","Fast pace environment, not for everyone",Be the first to find this review helpful
12,Great company to work for,"Apr 29, 2019 - Account Executive Marketing Cloud in Madrid",5.0,"In my experience during these first 6 months, company Values, atmosphere and Salesforce position in the market are great in order to develop your career as a Sales person in Salesforce.","High volume of work and sometimes is difficult to have a balance between personal and professional life. Anyway this as a Sales person is a good problem to have, it shows Salesforce position in the market as well feedback and willingness of the potential customers to do business with Salesforce.",Be the first to find this review helpful
13,Best place to work,"Apr 29, 2019 - Sales Manager in Munich, Bavaria",5.0,great team spirit awesome facility great product great team leaders etc.,can't find any till now,Be the first to find this review helpful
14,"Great culture, good opportunities","May 8, 2019 - Senior Account Executive",4.0,"Great company culture, lot's of products for different markets and segments so very diverse in terms of conversations with customers and prospects.",Very numbers driven. Not as much fun in local small affiliates as in hubs.,1 person found this review helpful
15,6 months in Salesforce,"Apr 29, 2019 - Anonymous Employee",2.0,Salary and benefits are competitive. Internal processes are in place and they work fairly well. There are lot of opportunities as the company is still growing. Solid product and great customers.,"Company has grown so much it feels it has trouble keeping up with itself. Company utilizes Google GSuite which doesn't work too smoothly with Apple or Microsoft products and hardware. You can get your work done, but if you are used to select your own tools or if you come from a Microsoft dominated environment you better be prepared for this as the impact to your productivity may be big in the beginning. The biggest problem to me has been that the Senior Management is not always on a level that I would expect them to be. There is a lot of variance in how they set the expectations, support their subordinates and especially how they present themselves as leaders. Maybe it is bad luck or maybe I'm not the right fit for the company, but this has also made me consider my options with other employers.",8 people found this review helpful
16,Business Development Rep,"Apr 23, 2019 - Anonymous Employee",5.0,- healthy environment - good benefits - learning curve,No cantina and too many unhealthy snacks,Be the first to find this review helpful
17,A great company to work for,"Apr 22, 2019 - Anonymous Employee in Tel Aviv-Yafo",5.0,"Benefits, care for the environment, big amount of time off, company events, salaries and bonuses",Big firm - making it slightly less personal,Be the first to find this review helpful
18,The Ohana is real!,"Apr 19, 2019 - Business Development Manager in Toronto, ON",5.0,"Everyone wants to win. A company filled with top talent who are dedicated to furthering their careers within Salesforce, and thus producing incredible results. Even though it's competitive, everyone supports each other in their journey.",Can be challenging understanding org structure with such a large and complex sales machine.,Be the first to find this review helpful
19,Many good and smart people but very bad office to work in,"May 22, 2019 -",1.0,A lot of smart and nice people to work with. Hiring is done properly perhaps,Office is not clean many people fall sick and no one care about it,4 people found this review helpful
20,Recruitment Coordinator,,5.0,Management Team Style of management Support from recruiters VTO Wellness rooms Games room,Can't think of any at the moment,Be the first to find this review helpful
21,Enterprise Account Executive,,4.0,Lots of Sales resources. Sales Culture,Very few Sales people are successful,Be the first to find this review helpful
22,"Companies may be winning titles for “World’s Best Place to Work”, But",,2.0,"The Salesforce name in it self is a big Pro. We being the most innovative company and how we care for the customers is very alluring. Heard great things about the culture before I joined. Our values and 1-1-1 philanthropy model gives a sense of what is priority for the firm - People. Great work-life balance if you are in the right teams. But not when you are 12.5 hrs ahead and working under managers from India. Also, open V2mom(Year goals) at the entire org level gives purpose for your career development plans.","There has been no attention paid to the mid level management that was hired. Especially in the IT Project team. People leave managers, not companies. I feel I work under a manager who is straight out of the Dilbert comic strip. Numerous attempts have been made to fix my working relationship with this manager, with no results. I strongly believe that there is severe incompetence for the role and position that this manager was hired for. Gaslighting, micromanagement, plagiarising ideas, absolute disregard for an employee’s personal time. Add to this the constant reminder of the said person’s insecurities being thrown around in the garb of constantly mentioning their decade-odd years of work experience. These are just some, among the many, problematic aspects that have caused demotivation. However. I would also like to clarify that the person in question is not bad or immoral. They only happen to be a bad fit in a managerial position. This company might be ranked as the best place to work at, but from an employee’s point of view, our life revolves around the people we work with/under, daily. It is unfortunate that it has as not fared well for me. It is quite drudgeoning to constantly hear the phrases “what!!!!!”, “that is not how it works” or “i don’t understand” up until today.",23 people found this review helpful
23,Epic place to Work!,,5.0,"Amazing work environment with an incredible focus on employees. It is only fitting of the title of Best Place to Work in Sydney, with awesome career progression opportunities.","Sometimes employees have an expectation that tenure equal promotion, so when it comes to evaluation time performance often hinders their journey forward, I only say this as a con as Salesforce doesn't do the greatest amount of expectation setting to create a comfortable and motivated environment. Don't make the mistake of thinking that the actual job you are doing is any different to any other inside sales role. They are a corporate company after all.",1 person found this review helpful
24,pros/cons,,5.0,Benefits are very good and competitive pay for the position,Demanding work with low headcount,Be the first to find this review helpful
