,title,author_info,rating,pros,cons,helpful
0,No other better place to work than here,"Oct 26, 2020 - SMTS Software Engineer in Hyderābād",5.0,"1. Best work/life balance 2. Respect which you get as an employee is great, which ppl strive to get in other companies 3. Best health benefit plans, 4. Employee well being programs, like every last friday of month is a holiday during lock down/wfh 5. Best manager policies",Nothing I can think of,Be the first to find this review helpful
1,"Great people, culture and benefits!","Oct 26, 2020 - Account Executive/Director in Gurgaon, Haryana",5.0,"Great people, culture and benefits!","Being a SaaS sales role, the number of transactions are high.",Be the first to find this review helpful
2,Sales Account Executive,"Oct 27, 2020 - Sales Account Executive in Milan",5.0,"culture, people, benefits, market share, amazing growth opportunities","hard work, high effort, stressed environment and unstructured processes sometimes",Be the first to find this review helpful
3,Amazing Company,"Oct 27, 2020 - RVP, Sales",5.0,Outstanding care on Customers and Employees,To much back office paper work,Be the first to find this review helpful
4,Happy anniversary 6 months by Salesforce,"Oct 27, 2020 - Executive Assistant in Amsterdam",5.0,Great conditions and great atmosphere,Onboarding was fully at home,Be the first to find this review helpful
5,Inspiring,"Nov 9, 2020 - Account Executive in Paris",4.0,"- inspiring - constantly moving, evolving, innovation - fun",- fast growing and then maybe sometimes a bit too much internal politic and micro management,Be the first to find this review helpful
6,Great place to work,"Oct 25, 2020 - Director in São Paulo, São Paulo",5.0,Culture and work life balance,Fast growing and still maintaining the culture can be a challenge,Be the first to find this review helpful
7,Waiter Experience,"Oct 26, 2020 - Waiter in Hatfield, England",5.0,"Great Customer Service, Useful training",Can be a very busy and fast pace,Be the first to find this review helpful
8,A truly amazing company to be part of,"Oct 26, 2020 - Lead Solution Engineer in Rome",5.0,"Company values really reflect on daily activities. Incredibile care for people, attention of the management in supporting any professional or personal need, top technology to work with, high level of competence in the team","This is not the place for people who are not willing to work hard and with full commitment and enthusiasm. Sometimes keeping the work/life balance is a bit hard, but management is fully supporting in trying to get it right",Be the first to find this review helpful
9,COVID-19 brings out the best in Salesforce,"Oct 26, 2020 - Industry GTM Director",5.0,"Awesome, inclusive culture. Strong focus on teamwork and collaboration. Success and growth oriented mindest",Large organization and product portfolio is a challenge to navigate,Be the first to find this review helpful
10,Great place to grow!,"Aug 3, 2020 - Anonymous Employee",5.0,- Fresh and happy atmosphere - Competitive but not toxic - Significant benefits you can take advantage of - Evolving yourself with more skills and valuable experience,Too much sales attitude sometimes which can be boring and tiring.,Be the first to find this review helpful
11,Good Compnay,"Feb 15, 2021 - Anonymous Employee",4.0,good culture employee centered company,doesn't care about hard work. They want only visibility.,Be the first to find this review helpful
12,Very professional organization,"Jun 29, 2020 - Senior Enterprise Account Executive in Amsterdam",5.0,Lots of talented and really good people! Great employer treatment and benefits Very positive and winning spirit Great reference customers Good and sexy products and services Very consistent message to the market Focus on Customer Success,High-Speed operations Sales driven Sometimes perceived as aggressive Demandin a lot from their employees,1 person found this review helpful
13,Good perks but lots of office politics,"Jan 15, 2021 - Software Engineering SMTS in Bangalore",3.0,"Good salary, best perks, work-from-home allowance.","Managers play favouritism, huge office politics, no work-life balance in India",3 people found this review helpful
14,Salary,"Feb 16, 2021 - Business Development Representative in Dublin, Dublin",4.0,Good carrer path and possibility of growth,No cons except Covid freeze impacting promotions,Be the first to find this review helpful
15,Full-time employee,"Jan 31, 2021 - Anonymous Employee",4.0,"Innovative, wellbeing is key, great benefits also for parents, flexible working","Very fast work pace, constant change, which doesn’t suit everyone",Be the first to find this review helpful
16,Success Agent,"Oct 18, 2020 - Customer Success Agent in Hyderābād",5.0,Great place to learn and lot of benefits,"Everything is good, No cons.",Be the first to find this review helpful
17,Company with low transparency,"Dec 27, 2020 - Lead Solution Engineer in Tokyo",3.0,Full benefits package. Extensive product portfolio with many acquisition.,"We are a cloud product company, but our PC security is very strict. Salaries are different even for the same grade.",1 person found this review helpful
18,It all depends....,"Feb 1, 2021 - Account Executive in Toronto, ON",4.0,Amazing culture and people. You will learn a ton.,Depending on accounts it can be a really long year,Be the first to find this review helpful
19,Great place to work,"Jan 26, 2021 - Director in Melbourne",4.0,Great place to work - looks after their team and associated families.,None right now - has been great so far.,Be the first to find this review helpful
20,Company Culture that makes sense,"Oct 23, 2020 - Customer Success Specialist in Dublin, Dublin",5.0,Benefits and company culture are the best.,You have to be loud to be recognized.,Be the first to find this review helpful
21,Workspace Harrasment is something common,"Nov 3, 2020 - SRE Engineer in Buenos Aires",2.0,"A lot of them, Unlimited vacations for the Buenos Aires office, good office facilities, events, good office location, days off by company initiative, good work-life balance.","In my case, I was working almost 4 years for this company and I resigned because I was suffering from Workplace Harassment from part of my manager with the fact of employees' success wasn't able to resolve an internal conflict and finally you finish resigning. I think it one of the principal disadvantages, some managers are not prepared to be managers and they're promoted only because they had a couple of years working in the company. Also in the interviews, they promise that you will work with the latest technologies in the market but in the case of my position I never touched Kubernetes, and SRE is only limited to monitor PagerDuty alerts and NewRelic boards.",3 people found this review helpful
22,Best Company,"Oct 21, 2020 - Customer Sucess Engineer in Hyderābād",5.0,Good team work never seen before,As of now there are no such downslides,Be the first to find this review helpful
