,title,author_info,rating,pros,cons,helpful
0,Contracts Intern,,4.0,"The Company is a awesome place to work, benefits excellent.","There is no much career opportunities,",Be the first to find this review helpful
1,Drinking from the Fire Hydrant,,4.0,- Community involvement is high with 7 days (56hours) of VTO during business hours encouraged - Better culture for women than most tech companies - Commitment to equality and doing better (appreciating no one is perfect and entrenched bigotry/sexism/racism takes a long time to overturn) - Chief Equality Officer Tony Prophet - Regular salary comparisons to eliminate inequality in salaries based on gender - Australian private health insurance paid by the company - Flexible working arrangements in some teams so you can work remotely,"- Depending on your role, your manager might not support the VTO during work hours - Depending on your role, you might not have any male salaries to compare against - The company and larger industry is still male-dominated, and you will still come up against entrenched sexism, this isn't utopia - ""Drinking from the fire hydrant"" is the work load. You either step up or leave during probation. If you do step up, you will reach your limit, then be overloaded again. If you're a workaholic and can balance that in a healthy way, great, but SFDC plays lip service to work-life balance in many departments. The work-life balance is often achieved through working from home while your family is asleep. - 99% of opportunities outside of the USA are sales-focussed",2 people found this review helpful
2,The Sky is the limit!,,5.0,Fantastic and inspiring colleagues Great Products Company Culture & Values Winning Attitude of people Lots of room to grow Cool new acquisitions making Salesforce even more attractive to partners and customers Trailheads - Life Long Learning is reality Volunteer Time Off,Pace of Innovation can be exhausting Very hard to get a good work-life-balance Dynamic Growth of Employees putting strains on Employee Success and sometimes creates chaos,Be the first to find this review helpful
3,"Great company with best culture, values and excellent product",,4.0,"Mark & Parker leadership Compensation wise it will be in top 3 companies in Hyderabad Core values and trust wise it is no. 1 as far as I know. Work life balance is great with optional work from home option Opportunities wise its improving a lot with lot more teams forming in Hyd. Nice Cafe bar and Free food is great a plus as it matters for working couple :) Occasional US/Europe trips for R&D Great benefits like fitness, optical reimbursement","1. Problem in hiring due to brand value - We need to increase brand value of Salesforce to attract best talent in India. 2. Some rules are not common across globe in Salesforce and thats confusing sometimes for example WFH, paternity leave etc...",3 people found this review helpful
4,Great Place to work,,5.0,"Best in class Benefits, Ohana Culture , Growth opportunities , equality , performance based appraisals",Metrics for employees in support makes employee feel a bit pressure,Be the first to find this review helpful
5,Growth,,4.0,"Tons of opportunity. Warm welcoming and great ""aloha"" ""ohana"" spirit. Lots of work. Flat org. Open environment and open-minded management. Not a place for those willing to lay low.","Initial stage as a service consultancy. You have to find your own way. LACA region is pretty new and needs a lot of external expertise to build itself. Although it is necessary, it is still like a Frankenstein of methodologies and approaches that vary with management and teams.",Be the first to find this review helpful
6,Sr Account Exec,,5.0,"Work with top talent, Innovative platform, Customer Success","Stressful monthly cadence, lots of prospecting, zero gimmes",1 person found this review helpful
7,A great company,,5.0,"Innovation, Giving Back and good compensation","Not a real manager, need to promote",Be the first to find this review helpful
8,Enjoyable Atmosphere,,5.0,"Free food, wellness allowance, educational allowance",Overly positive American culture can be a bit much at times,1 person found this review helpful
9,An abundance of opportunities,,5.0,"Management genuinely care about individual development and progression, competitive pay, great training and development, clear progression path and fun and welcoming offices to work in.","Rapid growth leading to short notice change and seems to leading be a rumour heavy organisation. Offices bursting at the seams due to relentless hiring. Desk shortages for hot deskers, insufficient parking facilities for those who have to drive (Dublin has poor public transport infrastructure).",Be the first to find this review helpful
10,marketing manager,,3.0,The team was very friendly and nice.,Nothing in particular to discuss here,Be the first to find this review helpful
11,Best company I've ever worked for!,,5.0,Salesforce is like a family and really lives the one Ohana Spirit! Benefits are great! Volunteering time off. Super smart colleagues.,"Keeping up with everything. Very fast paced. You can easily get lost. Required learning path, certifications and badges for your role can be tough. High pressure on getting certified starting on day 1!",1 person found this review helpful
