,title,author_info,rating,pros,cons,helpful
0,"Cares about employees, but impediments to productivity cause immense frustration","Oct 3, 2020 - Principal Member of Technical Staff in Bellevue, WA",3.0,Leadership genuinely cares about employee well-being and corporate citizenship. The commitment to the 1-1-1 model is sincere.,"Engineering productivity is very low. Many top-down mandates about development practices, tooling, and technology. Priority randomization among competing impossible deadlines is normal. Mandatory infrastructure critical to development (e.g. CI/CD) is constantly changing and breaking; developers cannot proceed and may not set up alternatives.",4 people found this review helpful
1,Senior Principal Program Architect,"Feb 10, 2021 - Senior Principal Program Architect in San Francisco, CA",5.0,Positive Experiences Open dialogues with management Unlimited Leaves Plenty of training programs,Feel isolated working remotely Not in sight not in mind effect Work Life balance sometimes issue,Be the first to find this review helpful
2,Loving Salesforce Ohana,"Dec 24, 2020 - SRE/Systems Engineer in San Francisco, CA",5.0,"Wonderful Culture and great products Very smart and driven people at Mulesoft Managers/Leadership are acceptive and inclusive to diversity in ideas and people Strong Team spirit, helping each other to succeed and win as a team Flexible remote work option",Will update when I know,Be the first to find this review helpful
3,Not what it seems,"Jun 24, 2021 - Anonymous Employee",1.0,Their benefits are pretty good,"Salesforce talks a lot about how they support their employees, but that was not my experience. They over work their teams and make promises that they don't keep.",7 people found this review helpful
4,Don't Get Lost in The Positive Headlines,"Jan 12, 2021 - Account Executive in Chicago, IL",3.0,"Stock purchase plan, 401k match and health benefits are all great!","Besides the corporate politics you'll have to deal with and that you'll be paid significantly less than the market rate. The company has become the very thing they said they wouldn't become, they're a huge corporation now and the people outside of the top 10% of officers are only numbers to management. Don't believe in the headlines or your recruiter, at Salesforce you're nothing more than a number.",6 people found this review helpful
5,Awesome!,"Mar 9, 2021 - Sales in Dallas, TX",5.0,Great company with lots of growth,Long days I’m the saddle.,Be the first to find this review helpful
6,Great culture,"Jan 6, 2021 - Account Executive in Austin, TX",5.0,"Strong culture around team selling, enablement, education, and customer success.",Sometimes team selling can be cumbersome. I was recruited based on the ability to log overtime hours every week and that has since been stripped away. It's a significant reduction in overall compensation.,Be the first to find this review helpful
7,Great experience,"Feb 24, 2021 - Senior Account Manager in New York, NY",5.0,"Good salary, established processes, welcoming culture, visibility","Huge corporation, lack of autonomy, big teams for each account",Be the first to find this review helpful
8,Great company,"Mar 7, 2021 - Success Guide in Indianapolis, IN",5.0,Good to employees all around,Corporate ladder is hard to climb,Be the first to find this review helpful
9,Business analyst,"Mar 5, 2021 - Business Analyst in San Francisco, CA",5.0,"Great culture, leadership, and work/life balance",None that come to mind,Be the first to find this review helpful
10,Great place,"Mar 2, 2021 - Senior Program Manager in Indianapolis, IN",5.0,"Pay well, culture is excellent",Late org difficult to navigate sometimes,Be the first to find this review helpful
11,good company,"Mar 15, 2021 - Success Guide in Chicago, IL",4.0,"good benefits, good perks, good people",not much transparency from leadership,Be the first to find this review helpful
12,good company,"Mar 15, 2021 - Business Development in Boston, MA",4.0,"great company, great career experience","poor promotion paths, big company",Be the first to find this review helpful
