,title,author_info,rating,pros,cons,helpful
0,Regional Manager,,5.0,"Career Development, Culture, Opportunity for Growth",Complicated internal processes (making it difficult to get things done),Be the first to find this review helpful
1,Account Executive,,4.0,Smart hardworking people who care about our customers.,Not enough time in a day.,Be the first to find this review helpful
2,Best company I’ve worked for!,,5.0,"- As a Solution Engineer, pay is excellent. Bonuses/commissions are for the most part guaranteed especially starting with FY19. Seniors and below get overtime! - 401k match up to $5k - Charity Donation match up to $5k - Fairly priced health insurance with premium options included for dental and eye - 13 holidays a year (includes 4 floating)! - 7 days of Volunteer Time Off - 100 a month for health and fitness subsidy - lots of free swag and giveaway gifts Salesforce is a great corporate citizen with their 1-1-1 pledge. They really do care about helping the community and equality for all. I’m truly proud to work for a great company. Being an SE out of San Francisco, we get the perks of having HQ with the amazing building amenities, cafes, snacks, fitness classes, access to product teams and leadership, technology kiosks, and conferences and marketing events such as Dreamforce, TrailheaDX, summits, and kickoffs. Although it may vary by team when being out of HQ, we still get the flexibility to work remotely which is nice since the SE role can be very demanding. The role continues to challenge me and provide tremendous growth opportunities. In this role I get opportunities to continue to learn new products almost every six months and get certified, improve my public speaking skills, and network with executives from all the customers I work with. I get the perks of traveling (and also get paid for it since I’m hourly) which is different than consulting travel because it’s 2-3 trips a month usually for 1-3 days and mostly localized to the west coast.","- As an SE, we’re often times spread very thin. In addition to pre-sales, we provide booth duty (marketing) and enablement (post sales) support. This leaves us no time to get the real work done, so we use nights and weekends to build and solution. - Marketing is usually 6 months - 1 year ahead of the products themselves. - Our customers love Salesforce but I spend most of my time education customers because they are confused on the products we offer. Putting Einstein and Lightning in front of every product confuses the crap out of everyone including internal employees - 3 weeks vacation for non exempt employees could be better - I often find that in order to use my VTO, I’m working overtime, because my work still needs to get done even if I’m doing volunteer work - Way too many all hands meetings. - Administrative overhead in general is extremely time consuming: time and expense reporting, activities entry, DCs, and administrative quip docs. - Turnover with our AE counterparts can impede on our ability to sell",10 people found this review helpful
3,Performance Engineer,,5.0,"Location, Pay, Benefits, Nice People","Boring and Corporate. People were nice, but that's about it.",Be the first to find this review helpful
4,Senior Software Engineer,,4.0,Relaxed working atmosphere and a really nice office,Lack of direction in Infrastructure,Be the first to find this review helpful
5,"Great Company, Great Benefits, but don't work for the Marketing Cloud",,3.0,Salesforce is a world class leader and has many wonderful people and products. Benefits are amazing and the values of the company are so wonderful!,"The problem is that they continue to acquire companies, and within those companies individuals who are less than qualified or do not fit the Salesforce culture also get acquired. If you happen to become apart of one of these products and teams, it's extremely difficult to get out of and Salesforce takes years to fire individuals that desperately need to be removed from the company. Management says that their hands are tied with Employee Success and Employee Success drags their feet, causing teams and clients to suffer dramatically. The Marketing cloud is notorious for this behavior and has an internal reputation from Salesforce Core to not hire individuals that come from the Marketing Cloud due to the individuals that do not represent the company and the Marketing Cloud well.",2 people found this review helpful
6,Business Development Representative,,5.0,Strong team environment that puts a premium on collaboration. Helps tremendously especially when you are a new hire trying to ramp up quickly,"It can be challenging to make a vertical or horizontal move out of a sales role without spending at least 2 years in sales, which is frustrating,.",5 people found this review helpful
7,Account Executive,,4.0,People are great to work with.,Lot's of pressure to meet goals. Territories keep getting cut.,Be the first to find this review helpful
8,Sales Operations Analyst,,4.0,Great CEO to work for - Ohana and Salesforce employees are lifers.,"People end up getting stuck there, career growth in limited, very siloed teams.",Be the first to find this review helpful
9,Incredible place to work,,4.0,"There's a lot of reasons to work for Salesforce. The people and culture are amazing, everyone is motivated and competent at what they do. The pay and benefits are also top notch and very competitive.","As a developer, the career ladder is rather unattractive. It doesn't really feel like there's much that distinguishes people with the various titles, and in many cases it seems titles just reflect time with the company as oppose to meeting the ""requirements"" outlined in the descriptions of said titles. That said, there's not much emphasis placed on titles and I've never noticed any lack of respect between those in different places in the career ladder.",Be the first to find this review helpful
10,Director,"Aug 14, 2019 - Director in San Francisco, CA",3.0,Ohana culture is very positive Above standard benefits Volunteer Time Off to impact community either with your team or on your own Decent physical working spaces,"Constant growth cuts in to resourcing to do the work already present, i.e. company wide travel bans. Some business functions are awash in money and people; others are thread-bare, with no discernable difference in impact or “importance to making money” Pay is below industry peers",8 people found this review helpful
11,Great Brand Terrible work life balance,"Oct 14, 2019 - Account Executive in Atlanta, GA",2.0,"Working with talented people,Great technology.Volunteering is a big part of the company","Boiler room mentality, customer success is more of marketing-Customers are harassed constantly to keep up with monthly close and cadence.No long term strategy in enterprise accounts and customers are getting fatigued by this behaviour-Micro managment who only care about monthly ACV in Strategic accounts -High turnover in upper end of strategic sales.-Terrible mid level management who manage based on fear over mid 40s experienced sales team for Carolinas and Atlanta-No work life balance",13 people found this review helpful
12,Think twice,"Aug 11, 2008 - Senior Business Analyst in San Francisco, CA",1.0,The benefits package is excellent. You gain a lot of experience in a short period of time. You gain excellent product knowledge I took the job because I thought it would be a great place to learn.,"The politics in play prevent you from doing your job. You are not recognized for performance, and there are limited opportunities for growth. Salesforce overworks and underpays employees in key roles while rewarding employees in roles that are less critical. You are subjected to trial by fire with little or no management support.",7 people found this review helpful
