,title,author_info,rating,pros,cons,helpful
0,Good company but poor work-life balance,"Sep 22, 2021 - SMTS - Senior Member of Technical Staff in Hyderābād",3.0,-Top CRM platform with strong products. -Pay and benefits are excellent. -Constant focus on diversity and inclusion. -Lot of career opportunities internally and it is very easy to transfer to a different team.,-Very poor work-life balance especially for senior members in India. -We cannot really switch off from work in the evening due to the evening calls to cater to the Pacific time zone. -Lot of dependency on US teams. -Monolithic architecture -Too many processes that can slow us down.,3 people found this review helpful
1,Best Company to work for,"Feb 7, 2022 - SMTS Software Engineering in Hyderābād",5.0,"Work, Flexibility, Compensation are great here",None as such for me,Be the first to find this review helpful
2,Beware of politics,"Apr 2, 2022 - Anonymous Employee",4.0,"Pay is decent, Flexi work, typical product benefits like Insurance, Free food etc.",Very intense politics. No shuttle facility,Be the first to find this review helpful
3,The company of my life,"Jan 11, 2022 - Regional Sales Director in Madrid",5.0,The company lives its values & cares about people Innovation & Growth with the customer in the center Competitive Package Great product,Getting a bit bureocratic Too much work,Be the first to find this review helpful
4,Very cool company,"Apr 8, 2022 - Senior Director in Munich, Bavaria",4.0,"Culture, Solutions, Customers, People, Brand","Work life, Politics, Company size, HQ centric",Be the first to find this review helpful
5,Nice culture and good benefits,"Mar 27, 2022 - Implementation Engineer in Tel Aviv-Yafo",4.0,Work life balance and terms,Too much politics. Instead is move fast and breaking things it is move slow and still break things,Be the first to find this review helpful
6,Great Organization to work for,"Jan 23, 2022 - Technical Support Manager in Hyderābād",5.0,Great company. Awesome benefits. Great work culture. Best employee centric organisation.,This is the best org to work for.,Be the first to find this review helpful
7,The People!!!,"Aug 25, 2021 - Senior Employee Recruiter",5.0,"You hear about how great Salesforce is but it's only when you get here and get working for a few months, then you really understand how great it actually is. The people here specifically management want all their employees to succeed in whatever they choose to do. Sustainable work life balance, working from home we've really put wellness at the top of mind and geared for long term success in this flex WFH model. Making real investments in creating a workplace that looks like the society we live in and creating access for groups that need it most. Couldn't be happier to be part of this growing inclusive company culture. Leadership does an amazing job listening to our feedback and more importantly making the necessary changes. It really is an exciting time to be part of Salesforce!",None at this time.,Be the first to find this review helpful
8,Great place to work,"Feb 6, 2022 - Technical Consultant in London, England",5.0,Surrounded by Architects to learn from,Pay is below industry standards,Be the first to find this review helpful
9,Great Company to work with,"Jan 22, 2022 - Salesforce Developer in Gurgaon, Haryana",5.0,Good work life balance Good benefits and great pay,Didn't face any problem so no con i could think of.,1 person found this review helpful
10,Overall Positive,"Feb 16, 2022 - People Analytics Manager in London, England",4.0,"Flexibility, Culture, Opportunity and Resources",Pressure to move fast vs do things right,Be the first to find this review helpful
11,had an awesome experience workig here,"Feb 17, 2022 - Anonymous Employee",4.0,Local benefits are good here,No cons to mention about this company,Be the first to find this review helpful
12,Poor Worklife balance,"Jan 25, 2022 - MTS-DevOps in Hyderābād",4.0,"Great benefits like free hifi food, iPhone, AirPods, monthly 5k for fitness, swags, 1 wellbeing day off per month free to move teams after one year in a team and complete process will be done anonymously without intimation to current manager working on latest technology","no internet bill reimbursement no work life balance at all , 12 hours work 365 days too many meetings engineers will be involved even in quarter planning for 7 ppl in team for sr.manager and sr.product manager. 3.5L their for employee education/certification but you can claim only if you pass... very bad, looks like for namesake this is there. small teams less than 10 ppl including manager and product manager.",8 people found this review helpful
13,Don't expect anything great unless from this role,"Feb 14, 2022 - Customer Success Guide in Hyderābād",3.0,"Great benefits, package is decent","Lack of direction from senior managers, they keep adding new members without having a solid plan on how they want to run the business.",1 person found this review helpful
14,Benefits are good,"Feb 16, 2022 - Technical Support Engineer",3.0,Work culture benefits are excellent,Shift timings are not up to the mark,Be the first to find this review helpful
15,Great Onboarding Process Fast and efficent,"Feb 1, 2022 - Executive Assistant in London, England",5.0,"Keep you updated throughout the process, and personally updated via text","No cons, cant wait to join",Be the first to find this review helpful
16,Top Company to work for,"Feb 1, 2022 - Senior Recruitment Consultant in Dublin, Dublin",5.0,Salesforce is an amazing company to work for which pushes you outside of your comfort zone and a place where you are constantly learning. Culture and environment are stellar.,"Extremely fast-paced environment, no other cons to detail!",Be the first to find this review helpful
17,Lots of room for growth,"Feb 1, 2022 - AMTS Software Engineer in Dublin, Dublin",5.0,"- Lots of room for growth. - Supportive management team. - Education benefits are incredible, a constant growth environment.",- Office could have a few more snack variations...but free is free so...,Be the first to find this review helpful
18,Really humble place to work,"Feb 2, 2022 - Marketing Associate",5.0,A healthy work life balance is the best thing about working at Salesforce. Supportive managers and a good team.,Less leaves and team outings.,Be the first to find this review helpful
19,Amazing place to work,"Feb 2, 2022 - Senior Technical Support Engineer in Hyderābād",5.0,"Amazing place to work, lot of benefits like fitness incentive etc",There are no cons.. Just getting started,Be the first to find this review helpful
20,Lifestyle employer,,4.0,"Great culture, philanthropy, team culture, nice people, awesome work-life balance, inspiring CEO",Slim looking org charts does not provide enough opportunity,Be the first to find this review helpful
21,Great Company to Work for,,4.0,1. Create work culture 2. Competitive compensation,1. Development on core application is not very good.,Be the first to find this review helpful
22,Good company,,5.0,"Life balance, Interesting jobs, Nice colleagues",Navigate political management Slow promotion cycles,Be the first to find this review helpful
23,Salesforce walks the talk,,5.0,Salesforce culture and collection of smart and hard working people is awesome,Big organization means its hard to find the right person to talk to sometimes,Be the first to find this review helpful
24,Apllying in your company,,5.0,Honestly loyal responseble in work,Commented to the work task,Be the first to find this review helpful
25,Really professionnal process with supportive teams!,,5.0,-Transparent feedback -supportive teams -good communication -good corporate spirit -panel: a buddy is designed and helps you on the presentation -really fair hiring conditions,"-huge work to prepare the panel, but really interesting exercice to go deeper on Salesforce details",Be the first to find this review helpful
26,Outstanding place to work and really set you up to succeed your,,5.0,Flexibility Innovation Collaboration Value based selling,High growth environment is always changing,Be the first to find this review helpful
27,Good,,5.0,"Culture, Growth, collab with diverse people",Not a con but can be time consuming,Be the first to find this review helpful
28,The best!,,5.0,- Amazing benefits - Incredible culture - Some of the most talented people I have ever worked with,"Salesforce is fast paced and high growth, expect change regularly",Be the first to find this review helpful
29,Best Place to Work,,4.0,"flexibility, team work, good social advantages",I can't really see any to be mentionned,Be the first to find this review helpful
30,Negative manager,,3.0,Great company with good benefits for employees,Manager does not possess good leadership skill and show zero empathy towards team members.,3 people found this review helpful
31,Overrated,,3.0,Good benefits Good W/L balance Nice offices No need to come to the office at all,Work not interesting Managers are disconnected,1 person found this review helpful
32,good,,3.0,nice company to work with,no as of now for me,Be the first to find this review helpful
33,Great place to work,,5.0,Benefits Trust Pay Diversity Wellness,"Nothing to say , great place to work",Be the first to find this review helpful
34,best when you get used to it,,5.0,"work culture , benefits, trust",boring at times and may be need more visibility then work for few things,Be the first to find this review helpful
35,Good company,,4.0,Good leader good office good,Partner is bad cannot work with them,Be the first to find this review helpful
