,title,author_info,rating,pros,cons,helpful
0,Large company with strong focus on growth,,4.0,"Good training and support for sell SaaS Good benefits (Medical, Maternal/Paternal leave, ESPP, 401k matching, Wellness reimbursement)","The pressure is always very high to make your numbers as a sales professional. As a growing organization (~14,000 employees), it can be slow to see material change to broken processes. With the growing number of acquisitions, the integration process can be very slow.",Be the first to find this review helpful
1,Great company to work for. Limitless learning opportunity.,,5.0,Work/life balance is great Amazing benefits and competitive salary Intelligent and humble co-workers Management is big on training Dreamforce,"Roadmap sometimes is unclear IT policies are a pain to work with Big company, so sometimes it's hard to find information you need",Be the first to find this review helpful
2,"Amazing culture, great benefits, great colleagues",,5.0,"Amazing place to work. Engineers are given freedom, time and lots of benefits. Great work environment. Work on the latest Open Source technologies. Great management with a strong focus on keeping employees happy.",Technology in infrastructure can be improved Workplace can be quieter to enable more individual work Different groups work in silos,Be the first to find this review helpful
3,"Young, vibrant culture. A very exciting and fun work environment. There's always room for growth.",,4.0,"Great compensation, fun group of people and community-service driven.There's never a dull moment and everyone is encouraged to contribute to the company value of 1:1:1","May face some challenges in collaboration. Can be an ego-driven environment. The company is extremely fast-paced and intense. For those who like a more laid-back environment, it can be a quite stressful environment. The company is growing so quickly that it sometimes feel like more of a start-up.",Be the first to find this review helpful
4,The Right Fit,,5.0,"It's a great place if the culture matches your personality. Great compensation. Fun, young demographic. Lots of opportunities to show how good (or bad) you are.","They will work you to death, but they certainly compensate you for it. Pockets of very aggressive and non collaborative people in senior level positions.",Be the first to find this review helpful
5,Wonderful place to work and have fun!,,5.0,Everyday I'm looking forward to taking the shuttle to San Francisco to work with the team,"Sometimes the work can be overwhelming, but between release, it's heaven.",Be the first to find this review helpful
6,Human Resources Professional,,3.0,Fast paced like a start up but nice stability,Lots of priorities and hard to keep track of which is more important,Be the first to find this review helpful
7,More political as it grows,,4.0,"Great, innovative engineering team, other departments not great","Politics, lack of trained managers",1 person found this review helpful
8,Great,,5.0,Fun place to work everyday,Long Hours are not fun,1 person found this review helpful
9,Dreamjob?,,3.0,The company really makes a point to voice the support of its employees moving around the company and finding their next dreamjob within.,"Not all managers are supportive of internal movement. They need to learn that people are not property. If someone is ready to move on to a different role, they will do regardless, if not within they'll leave the company. It's sad to see how much great talent has left salesforce in the last couple of year because of lack of support for internal movement. Also, salary increase with promotions are often not fair -- the salary is often increased by percentage of an employees' current salary and not necessarily what the new role is actually worth and valued in the market. This is making many internal employees feel less valued and increasing the chances for attrition.",1 person found this review helpful
10,LMTS,,5.0,work life balance latest technology working with one of the best talents,"growing too fast lot of middle level management getting created very fast, losing the flat hierarchy",Be the first to find this review helpful
11,Short term focused,,3.0,"The company has a good brand, strong marketing",too short focused and does not value long term relationships with customers,4 people found this review helpful
12,Territory is everything,,3.0,-Competitive salary -Good benefits package -Well organized / well run -Good professional learning experience -Good work environment if a little loud,"-The days of rapid growth are over, some territories and accounts do really well, others struggle. There is a core group of Account Executives that make their numbers, for the rest its a revolving door. -Critical to success is getting a good territory and having a good manager. -Salesforce is in a fight to be the next platform... to do that they need to hit big sales numbers... its a war and there will be casualties. Don't be surprised if you are one of them. -Salesforce's own implementation of Salesforce is a Frankenstein disaster. Account data is a mess too. When I was given my territory I had almost three hundred accounts. After I went through all of them to see what was real I actually only had 40. It was a tremendous waste of time and makes it difficult to really assess the market opportunity.",4 people found this review helpful
13,A dream career....,,5.0,By far the people and team atmosphere. There is no shortage of high caliber individuals to assist. Large data accessibility behind you in every turn.... no need to reinvent the wheel at every turn. Supportive management who look out for you and want you to succeed.,"Not a con, but if you can't handle a fast pace environment, this may not be the place for you.",Be the first to find this review helpful
14,Awesome place to work and grow,,5.0,"Great growth, Interesting problems to work with",Lack of Inter-team communication and transparency,Be the first to find this review helpful
15,Cool place to work.,,4.0,Nice office environment. Professionalism. Free snacks. Office Diversity Dreamforce,Micromanagement - Understandable with all the fresh out of college folk.,Be the first to find this review helpful
16,analys,,5.0,great team great organization wonderful culture,its hours at times can feel too long,Be the first to find this review helpful
17,"Great strategy, great products, happy customers- yet disappointed",,3.0,"Exciting market space with leadership position, high growth potential Our customers love our products and look for more opportunities to leverage the platform Salesforce Foundation 1:1:1, Charity Donation Matching, Employee Perks - fantastic Onboarding process is really well done. Probably due to the sheer number of new hire bootcamps!",Territory carving is a mess. Veterans have the lions share of accounts- install and whitespace yet all AEs have the same quota. Small percentage of AEs actually make OTE....if you do then you're in Club! I'd rather have a real shot at hitting OTE!! Multiyear bookings result in a higher quota the following year that actually negates any increase in year 1 compensation...why? where's the incentive,10 people found this review helpful
18,"As an HR professional, Salesforce has been a great company to work for!",,4.0,Salesforce has given me amazing opportunities for career growth,There is not a lot of executive alignment in priorities and initiatives that trickle down. The impact is largest on those teams that have to implement with competing priorities and minimal resources.,2 people found this review helpful
19,Best company to work for,,5.0,401K matching program Benefits are amazing company really cares about its employees,company is growing quickly and might be harder for new people to move up quick,Be the first to find this review helpful
20,"Great place, but it's changing",,5.0,"Unbelievable products and culture. Customers, in general, love us. The most innovative company in the world (Forbes) three years running. This is the place to be, and we are moving into new territory daily.","SF is changing as it needs different structure and methods to grow and hit it's revenue goals. Some of the change is necessary, but there is concern that the baby may be going with the bath water.",1 person found this review helpful
21,Associate Renewals Manager,,5.0,"autonomy, completing projects, volunteering time to the community","autonomy, at times I feel like another cog :(",Be the first to find this review helpful
22,"Amazing company 4 years ago and has lost it's culture, charm and fun. As a result, a lot of great people have left.",,3.0,Employee stock purchase program Great CEO Good location in SF Good health care benefits 1:1:1 model,Not competitive base salary - base salary has increased $2K with 3 promotions in 4 years All about making your manager and their manager more money. Compensation is not competitive anymore Culture has shifted and fun has been sucked out of the job. Declined in quality of new hires and the next generation of Salesforce employees and leaders. New leadership No work life balance Increase middle management creating more red tape and dissatisfied employees Salesforce say we are about diversity but 1 person is of color and 2 women on the executive committee. And we don't get MLK day off as a holiday,5 people found this review helpful
23,Great place to work!,,4.0,"Great company, great products, great market. The company has the resources and talent to have limitless potential.","Territory determines everything. Culture is not ""as advertised"" by the HQ in San Francisco.",Be the first to find this review helpful
24,"A highly innovative place to work!""",,5.0,"This is a hugely innovative company to work for, the benefits are great, and so is the culture. Overall a great place.","We are growing super fast, so things change and move quickly. It's really exciting, but we change direction a lot.",1 person found this review helpful
25,Been here over 3 years... become very political,,3.0,Smart people. Great clients. Always learning something new.,Become very political. Lots of CYA now.,3 people found this review helpful
26,World class product management backed by the most innovative engineering and marketing teams in the industry.,,5.0,"This is the best job I've ever had. As a product manager, especially because of my business unit, I often describe my time at Salesforce as grad school for product management. I get to work with a brilliant scrum team, insightful and collaborative colleagues on the PM team, and a hardworking, world class marketing group. I've gained a ton of exposure within the company in a relatively short time and interacted with major brands. We've made market-changing product decisions and see the positive impact on our customers all the time.","As a big company constantly going through growth phases, it's challenging to align across so many engineering teams and business units, but Salesforce does an excellent job nevertheless, as shown by our customer enthusiasm and Dreamforce debuts.",Be the first to find this review helpful
27,5yrs and still loving it - tons of opportunity,,5.0,- Many career paths - Exciting product - Intelligent people - Good managers,"- The only constant is change, you have to stay nimble.",Be the first to find this review helpful
28,"Working long hours, low wage",,2.0,"Clean office, People are driven, Hiring a lot of people",Highest turnover company in Fortune 500. Lots of politics and benefit is not great compare to other silicon valley companies.,3 people found this review helpful
29,"Fast-paced, changing",,3.0,Lots of room for experimentation,The wheel is reinvented all the time,Be the first to find this review helpful
30,If you want a fulfilling career in technology....stay away from the Technology Org at Salesforce.com,"Feb 12, 2014 - Eng Leader in San Francisco, CA",1.0,Great product and service! But...,Upper management (engineering) is incompetent and is killing the company,7 people found this review helpful
31,Generally a good place to work,"Jan 20, 2014 - Senior Member of Technical Staff in San Francisco, CA",4.0,"Reasonable work/life balance, good funding for the R&D group (nice workstations, snacks, parties). Great location downtown, convenient commute.","Feature areas can be siloed, and your success depends a lot on the people around you (including manager, PM, and scrum team). Could be more agile.",1 person found this review helpful
32,Great place to work! A launching pad for your career in Hi-Tech sales!,"Jan 8, 2014 - Inside Sales Manager in San Mateo, CA",5.0,"Amazing product, culture and career development focus.",None! This is a great place to be.,Be the first to find this review helpful
33,No better place to work,"Jan 8, 2014 - Anonymous Employee",5.0,"Constantly innovative and evolving, complete focus on customer success, industry leading products and amazing people to work with.","The innovative culture is starting to be tainted by the recent ""Big Company"" feel and imported Sr. Management from Oracle. Very hard driving culture leads for little to no work/life balance.",Be the first to find this review helpful
34,Great place to work,"Jan 16, 2014 - Sales Engineer in Washington, DC",4.0,Innovation is baked into DNA Fantastic co-workers Focus on volunteering Interesting solutions,The Public Sector team has a bad culture,1 person found this review helpful
35,Struggling to come into its own as a large company,"Jan 7, 2014 - Senior Account Executive in Chicago, IL",2.0,Tremendous energy from marketing organization.,"- Beware of the smoke and mirrors. Lots of hype around the ""#dreamjob"", but they don't tell you the pie has been cut so many times that a very small percentage of people actually achieve their goals. - Land of haves and have-nots. Despite AE's at the same level sharing the same quota, there is no effort to balance the account sets. It's extremely important that you ask to see your account set and license footprint before accepting the job. - Salesforce grew up from the SMB so the Enterprise group is run like SMB with a very short-term mindset and a monthly cadence. - Much of the support of the organization comes at the last minute after the selling is done and the deal is in the final stages.",9 people found this review helpful
36,"Disorganized, unmotivated culture. A rest-and-vest management team.","Feb 5, 2014 -",1.0,"Salary, training opportunities, exposure to Salesforce and ExactTarget",The most politically divisive environment I've ever worked in. More a collection of shires protecting their territory than a fully-functioning company. Most importantly--a non-viable product in a fast-changing marketplace.,5 people found this review helpful
