,title,author_info,rating,pros,cons,helpful
0,Principal Solutions Engineer,"Aug 18, 2018 - Principal Sales Engineer in Atlanta, GA",5.0,On-boarding process is incredible. Great Solution and Product Set.,None so far. Nones so far. That's one way to meed the 5 word minimum,1 person found this review helpful
1,Diversity at Salesforce,"Oct 22, 2018 - Project Manager in Indianapolis, IN",4.0,The company culture of giving back cannot be beat. It's an incredibly supportive place to work and you get time off to volunteer; one of the best benefits there can be.,"Lack of diversity in management, especially C-Suite. Retention of people of color is appalling. It's hard to find a person of color who is an a management-level or higher position.",8 people found this review helpful
2,Great place to work,"Oct 22, 2018 - Senior Technical Consultant",5.0,"Interesting projects, good people, great benefits. The release schedule means there is always new stuff to learn and it never gets old. Additionally I really feel like they lead with their values.","Sometimes pressure to be billable is in conflict with other values-- volunteer time, etc.",1 person found this review helpful
3,Great Company to Work For,"Apr 4, 2019 - Account Executive, Growth Business in San Francisco, CA",5.0,"Great benefits, culture, lots of opportunity.","Your manager/territory/account list will have a huge impact on your success, so relationships are key to protect yourself on those factors.",5 people found this review helpful
4,Great and fast moving company,"Nov 21, 2013 - Software Engineer in San Francisco, CA",5.0,Dreamforce. Get a chance to meet customers and get feedback on how you are doing and what they seek. Managers are very professional and take care of their direct reports. Lot of opportunities,Not much but to list one I would say work is very process oriented,Be the first to find this review helpful
5,BEST company EVER to work for!!!!,"Nov 22, 2013 - Anonymous Employee",5.0,"The culture is amazing. Being Orange is a true reflection of what ET is all about. The work/life balance is perfect. Very flexible. Most everyone is very kind, respectful and has integrity. We have so many perks, it's unbelievable. Honestly, I couldn't be happier!",None that I can think of.,Be the first to find this review helpful
6,Amazing employee focus!,"Dec 12, 2013 - Lead Member of Technical Staff in Colorado Springs, CO",5.0,"Great benefits, amazing 1/1/1 (equity/profits/time) model to contribute back to the world, fun technology, bright engineers. Dreamforce is a great opportunity to network and see the fruits of your labors at play, too!","Copmany is growing too quickly, possibly causing growing pains (but haven't seen it yet!)",1 person found this review helpful
7,the best job I've ever had,"Jun 9, 2014 - Enterprise Corporate Sales in Chicago, IL",5.0,Great equipment Great people mostly casual work environment Great training - week long bootcamp in san francisco company phone company iPad food in the kitchen you sell the best product in the industry #1 most innovative company in the world your customers love the product and rave about how great it is,I haven't found one yet,Be the first to find this review helpful
8,ExactTarget really is good to their employees.,"Aug 26, 2014 - Senior Software Engineer in Indianapolis, IN",5.0,"The atmosphere is pretty laid back, and most people are friendly and willing to help.","There are 2 cons in my mind: 1) The reward for good work is more work. 2) They say that they follow agile methodologies, but it is really a crude bastardization of disconnected process.",Be the first to find this review helpful
9,Great Place to Work. Many Opportunities.,"Jan 4, 2016 - Technical Team Lead in Indianapolis, IN",5.0,"- Great culture - Very energetic - Lots of perks - Free beer at work - Many investment options: 401k, Employee Stock Purchase",- Organizational change is difficult. Everything changes every month on the Marketing Cloud Support team. This will calm down as the Marketing Cloud assimilates further into Salesforce practices.,Be the first to find this review helpful
