,title,author_info,rating,pros,cons,helpful
0,Great place to work,"Aug 11, 2020 - Finance Manager in Gurgaon, Haryana",5.0,"Amazing work-life balance, great pay, great benefits",hardly any. You can easily work here for life,Be the first to find this review helpful
1,Worst Company to work for,"Sep 3, 2020 - Software Engineer in Hyderābād",1.0,"Good benefits like meal, cab and events","1) No transparency in performance management and probation confirmation 2) Manager behaves like fief and can do whatever he wants so you are screwed if you don't get a new manager 3) Most employees are hired from Oracle and are creating same toxic environment that exits there filled with insecurities, jealousy and mismanagement 4) HR is a handicapped mute spectator and works for the sake of keeping their jobs 5) Shifts hardship allowances were recently restructured to cut cost",2 people found this review helpful
2,The place to work for,"Jul 29, 2020 - Member Of Technical Staff in Hyderābād",5.0,Work-life balance is at the heart of Salesforce. Each employee is respected and treated well.,Nothing that I could think of.,Be the first to find this review helpful
3,I don't think I've seen any other company who cares more about it's employees than Salesforce,"Jun 30, 2020 - Business Development Associate in Singapore",5.0,-Great structure and processes -Lots of resources -High psychological safety -Great diversity -Cares about your personal development and success,-None that I know of so far,Be the first to find this review helpful
4,Amazing company!! When it is as good as it seems,"Jun 2, 2020 - Anonymous Employee in Sydney",5.0,Really invest in their graduates Senior management really is interested in your opinions as a graduate Great working life balance A socially conscious organisation,It is a large organisation so as a Graduate it can be hard navigating,Be the first to find this review helpful
5,NOT the best place to work,"Mar 9, 2020 - Enterprise Account Executive in Singapore",1.0,"Great benefits such as wellness, VTO and lotsa free food and snacks. The solution is good.","They promote equality but the reality is the environment is toxic. Filled with 'preference' and bias, if your boss like you then you can get the good set of accounts to work on, otherwise sorry you are on your own. To protect their image of best place to work, they 'create' lame reasons to make you leave on your own or terminate you, instead of being seen as firing / layoff people. Lots of politicking between management, the Ohana is a marketing gimmick, the reality is the management are mostly ex-oracle bringing along their old habits and culture and practicing them in here. Most of the great talent had left the company and the original good culture is dying. This will be the last place I recommend anyone to join.",24 people found this review helpful
6,It used to be a great company in Switzerland,"Nov 7, 2020 - Finance Manager in Lausanne",4.0,Competitive salaries and benefits Nice working culture Fair/Equality is a focus,Little growth in the finance organisation as activities being moved elsewhere to COEs Lots of politics and departments working in silos,Be the first to find this review helpful
7,6 month evaluation period in Salesforce,"Jun 29, 2020 - Strategic Account Manager in Amsterdam",5.0,"Top of industry company, best place to work for,","high expectations, monthly and quaterly driven, senior mentality,",Be the first to find this review helpful
8,Good company to work for!,"Aug 5, 2020 - Tech Recruiter in Buenos Aires",5.0,Several good perks. For long time experienced workers or new ones.,Nothing to add at the moment.,Be the first to find this review helpful
9,Great Place to work. True Story,"Jul 23, 2020 - Sales Development Representative in Dublin, Dublin",5.0,Amazing team and management. Great salary and a bunch of benefits,Still not well known in Europe compared to the US,Be the first to find this review helpful
10,Do not fall for Pro rated hikes,"Aug 19, 2020 - Member Of Technical Staff in Hyderābād",4.0,Good scope to learn new technologies and improve your personal skills,With large hierarchy structure Managers cannot support employees to their 100%,1 person found this review helpful
11,Don't be afraid to go for SDR or BDR first,"Aug 19, 2020 - Account Executive in Dublin, Dublin",4.0,Unlimited commission structure can be lucrative,Certain industries way outperform others [relevant to UK business unit],1 person found this review helpful
12,Nice workplace,"Aug 18, 2020 - Sales Associate in Duba",3.0,Good Workplace and good for new people,Bad Management could improve a little more up,2 people found this review helpful
13,"Not so ""Ohana"" after all !!!","Sep 4, 2020 - Customer Success Manager in Hyderābād",1.0,Free food( loads of it) Lots of sugar to keep you excited about your company ( at the same time they want you to be healthy) Great office ( even though the decision of if you will get a seat depends on which team you work for),"Equality (Pun intended): IN spite of one of the core values of the company being Equality, the organization is RIFE with inequality. It first starts with who gets a seat at work. A company that boasts of technology and how they help businesses, they have no idea of what their growth is or will be. The tech teams grow inorganically leaving all the other teams to cram into rooms. There is clear discrimination right from senior leadership on who gets a seat and who does not. Tech teams are treated like kings and no one ( including the CTO)has the power to change their minds. There is a very heavy tone of ""ENTITLEMENT"" when any one approaches these tech teams or in discussions with them , something the company is very proud of. Even the facility team listens to what the leaders have to say and implement them. The Internal communication board even has a forum for people to vent, that is a great place for humor, with people complaining about the flavor of yogurt served in the fridge and many more trivial things.This (in)equality is not just limited to seating options but to pay, travel benefits and how they are treated by the infamous HRBP's ( or the human resources) They too clearly are unequal to teams, paying full attention to Tech teams and quite clearly ignoring smaller teams. I have met my ESBP twice till now ( official meetings) in my entire tenure as they are too busy taking care of the bigger teams. And who is there to ask them or question them, no one!! They seem to be the busiest team in the office while none of them are visible in the office post 4PM, imagine now when it is virtual. Talk about an easy job in Salesforce. Then there is a great term that they keep using ""OHANA"" like from an episode of Black Mirror they want to make sure you get sucked in to the idea of ,while the company really does not care. BTW that means' Family"" in Hawaiian, while no one is treated like one. Just giving people a lot of cupcakes and goodies( SWAG as they call it) is only marketing their company and the employees lap it up like puppies with a new chew toy. This is what the company's idea of a family is, give them stuff that is absolutely unnecessary and make them feel like they get ""SO MUCH"". Employees need to be bribed to fill up surveys, because well they don't do anything without a ""gift"". Any one who is planning to work for this organization should be particular about their ethics policies, which is an absolute joke.I am aware of some employees who were victims of this team, they either did not get justice for their complaint or were terminated for wrong decisions. I wish I had that kind of job where I can decide peoples' fates based on whims and fancies and no one to answer to. I strongly believe they have monthly targets to get people off the rolls! I know the HR team will scramble and get this review off this platform in an instant ( BTW one of the other values of the company is transparency). India offices are filled with wrong leaders and sadly nothing from the above will change.",11 people found this review helpful
