,title,author_info,rating,pros,cons,helpful
0,Unbelievable opportunity and Culture,"Jan 28, 2020 - Director in San Francisco, CA",5.0,"- Employee work life balance is actually working - Commitment to Society and Community are not just marketing slogans but are deeply embedded in culture - Management listens, respects opinions and takes actions - Unbelievable opportunity in terms of what you can work on and what you can create - Safe environment you can spend a life time here and not worry","- Lack of full stack experience for developers, you do more configuration than building - Speed can slow down due to excessive stress on collaboration and alignment - Some legacy elements, that need cleanup, but nothing that one cannot handle given everything else in place",Be the first to find this review helpful
1,Great company,"Jan 12, 2021 - Vice President",5.0,Team oriented culture. Performance driven.,Nothing significant that I can think of.,Be the first to find this review helpful
2,Great company and culture,"Dec 21, 2020 - Strategic Account Manager in Reston, VA",5.0,"Work environment, products and culture","Lot's of product updates, changes so there is a ton of training which can be overwhelming.",Be the first to find this review helpful
3,N/A,"Jan 13, 2021 - Account Executive in Austin, TX",5.0,Good company to work for,Nothing bad to say about the company,Be the first to find this review helpful
4,"Great Role, Expected Responsibilities, Good Management, Comforting Covid Response.","Nov 23, 2020 - Sales Strategy Analyst in San Francisco, CA",4.0,"The role is as expected. It allows for experimentation in process and areas for improvement, while considering the historical context of why something is the way it is. Being entirely remote (because of COVID) since beginning, there is good work/life balance. The company has given WFH Stipends for employees and has excellent communication in the form of All Hands meetings (very frequent) and email communications. I feel respected for my experience, and not pressured on my performance. We are all in the same boat, so we all have essentially similar expectations. The pay is good, as are the benefits (I expect would be better if work was in person). From what I understand, the promotion and salary reconsideration processes are fair and equitable.","There are a lot of processes in these roles that could be consolidated company-wide (or at least department-wide), that are not, which often times results in duplicate work or straying from the norm. Those processes need to be standardized. Sometimes it is hard to feel like a dialogue flows between colleagues, which is expected in an all remote environment, but a challenge nonetheless. The same goes for culture building, but efforts are being made, and I expect this to be more of a result of Remote work, and not the team/department. Processes often are overly complicated and should be assessed to whether or not they add value or could be simplified.",Be the first to find this review helpful
5,Company for retirement,"Apr 13, 2021 - LMTS, Software Engineering",1.0,"Good WLB, good parental leave","Oh where do I start, horrible politics and measly pay. They do not do stock refreshers so employees who have been there for long time get penalized. You have been warned, don't stay here for more than three years.",11 people found this review helpful
6,Sales,"May 9, 2021 - Sales",3.0,one hour for lunch break,long hours standing on feet,Be the first to find this review helpful
7,"Incredible employer, amazing business","Dec 6, 2020 - Senior Director in San Francisco, CA",5.0,"Employee friendly everything- comp, benefits, freedom, inclusion","Centralized, hard to change from the bottom",Be the first to find this review helpful
8,Junior Partner manager,"Jan 12, 2021 - ISV Partner Manager in South San Francisco, CA",5.0,Great benefits Great people Best management,Honestly can’t think of any,Be the first to find this review helpful
9,Salary,"May 3, 2021 - Senior Account Executive in Tampa, FL",4.0,Benefits are great for ee and family,Expectations change daily and yearly,Be the first to find this review helpful
