,title,author_info,rating,pros,cons,helpful
0,Great place to work and Career prospects,,5.0,Young and vibrant lot of scope for growth working on the latest technology,Need to adopt more professional practices in lot of areas like a large enterprise organization,Be the first to find this review helpful
1,"Great company, great vision",,5.0,"- Work with the best people on the market - Killer product, strong reputation on the market","- Career progression is very competitive, but this is the downside of working with the best ;)",Be the first to find this review helpful
2,fun,,4.0,everyone is so friendly you walk in and feel like everyone is a family,things move very quickly which is exciting but can be daunting,Be the first to find this review helpful
3,"excellent benefits, good package and beautiful work environment",,5.0,"excellent benefits, good package and beautiful work environment",the amount of work assigned will give less free time during working hours,1 person found this review helpful
4,Overall Experience at Salesforce,,5.0,Good culture and flexibility. Lot of opportunities,work load becomes heavy at times.,Be the first to find this review helpful
5,Great company to work for,,5.0,Great company to work for,None none none none none,Be the first to find this review helpful
6,Great company,,5.0,"Culture, willingness to succeed in business",None to be given at this time,Be the first to find this review helpful
7,BEST PLACE EVER,,5.0,"The people, the work culture, the food in the kitchen, being able to work from home! I love this place!",There arent many to be honest. Great company overall,Be the first to find this review helpful
8,Truly a great place to work,,5.0,The Ohana culture truly feels like a family. Employees are expected to work hard and deliver but given resources and space to do that in a way they choose.,Can be a little overwhelming sometimes with all that is going on. If you don't thrive in a fast pace environment Marketing at Salesforce is probably not for you:-),Be the first to find this review helpful
9,Great place to work in sales,,5.0,"Great salary and benefits, people are encouraged to take time off and do volunteer work, great product and lots of happy clients, small business sales is a great place to learn and develop in a full sales cycle role","Big corporation: You need to pay a lot of attention to the metrics, you cant really change things, your territory can affect your result quite a lot (but to be fair they are trying to be fair about it), extremely difficult to hit OTE in the first years, not much support or marketing materials for non-US small business sales",Be the first to find this review helpful
10,Great Sales training,"Feb 17, 2021 - BDR",4.0,great training program to learn about sales,requires a ton of autonomy.,Be the first to find this review helpful
11,Great Culture & Fantastic Company,"Feb 17, 2021 - Account Executive in Paris",4.0,Values Exciting jobs Innovation Ohana Great place to work,"Salesforce is operating a massive change in its growth rate where, now, growth is more coming from external acquisitions than from its core business",Be the first to find this review helpful
12,Great Environment,"Feb 2, 2021 - BDR Representative in Dublin, Dublin",5.0,Good Work-life Balance at Salesforce,Flat Learning curve after 6 months in the role,Be the first to find this review helpful
13,Good company to work,"Feb 2, 2021 - Technical Consultant in Bangalore",5.0,Good benifits and continuous feed evaluations by employees,No cons i have found,Be the first to find this review helpful
14,Great company to work for,"Feb 2, 2021 - Sales Associate in Sydney",5.0,"salary, commission structure, benefits and company culture","There are none, Salesforce is great",Be the first to find this review helpful
15,Amazing people and opportunities,"Feb 3, 2021 - Business Development Representative in Dublin, Dublin",5.0,The company is moving into great direction. There's a lot of opportunities within the company.,Opportunity value expectations vs. reality is quite far apart in mid market.,Be the first to find this review helpful
16,Best company with positive work environment,"Feb 17, 2021 - Senior Proactive Monitoring Engineer in Dublin, Dublin",4.0,"- Positive Work Environment - 25 days Annual Leaves + good health and dental insurance benefits - No Micromanagement - Have scope for personal development (certifications, training) - Competitive Package",- Org changes happen too often,Be the first to find this review helpful
17,"Incredible company, but beware the kool-aid","Jan 27, 2021 - Lead Solution Engineer in Sydney",5.0,Serious organisation that walks the talk regarding employee wellness and customer focus. Lots of excellent people.,Not an engineering-focussed organisation. Minimal data-driven decision making.,2 people found this review helpful
18,Dreamed Company,"Feb 1, 2021 - Account Partner Director in Ciudad de Mexico",5.0,"The culture, The Employee care and balance work/life is amazing",Nothing so far. Will update if something in the future,Be the first to find this review helpful
19,Great place to work,"Feb 1, 2021 - BDR in Dublin, Dublin",5.0,Pay/ benefits/ flexibility/ exciting industry,The product suite is vast and hard to get your head around at first,Be the first to find this review helpful
20,-,"Feb 1, 2021 - Sales Development",5.0,-Good management - promotions in a fair way,-can not think of any,Be the first to find this review helpful
21,Digital Marketing SPecialis,"Feb 2, 2021 - Marketing Manager in Dubai",5.0,"Media, learning, Growth, Improvement, Team leadership",Winners Never Cheat It's always depending on yourself,Be the first to find this review helpful
22,Best place to work at,"Feb 2, 2021 - Salesforce Developer in Hyderābād",5.0,Good salary Good perks Good folks to work around,Little hard to move up the ranks,Be the first to find this review helpful
23,Best company in the world. No lie!,"Feb 2, 2021 - Senior Business Development Representative in Dublin, Dublin",5.0,"Incredible career opportunities, great benefits, huge earning potential, Inclusive and diverse company, great company culture and values.",I have not experienced a single con in 18 months.,Be the first to find this review helpful
24,Looks after their staff,"Feb 15, 2021 - Marketing Manager",4.0,Good work life and well being.,Promotion opportunities are not very transparent.,Be the first to find this review helpful
25,no,"Feb 16, 2021 - Sales Support in Mohali, Punjab",4.0,Nothing to say about this things,All good nothing to say about this,Be the first to find this review helpful
26,Salary,"Feb 16, 2021 - Business Development Representative in Dublin, Dublin",4.0,Good carrer path and possibility of growth,No cons except Covid freeze impacting promotions,Be the first to find this review helpful
27,Great company with significant upside potential,"Jan 29, 2021 - Director in London, England",5.0,"Visionary leadership, Talented colleagues, Career Growth","Constant change, Turf Wars, Role Duplication",1 person found this review helpful
28,Awesome remote onboarding process and Company,"Jan 31, 2021 - Principal Solutions Engineer in Melbourne",5.0,"Challenging recruitment process, but definitely made me understand what I need to be when I arrived. Totally Safe and awesome remote/working from home conditions Great Culture, open and honest, inclusive.. These are not buzz words at Salesforce The Standards are high, and great wellness programs/benefits",I have not found one yet,Be the first to find this review helpful
29,Great place to work,"Jan 31, 2021 - Senior Account Executive in London, England",5.0,"Culture, benefits, salary, career opportunities, enablement etc.","Although there is support from leadership, it can be challenging to manage the work/ life balance.",Be the first to find this review helpful
30,Good Compnay,,4.0,good culture employee centered company,doesn't care about hard work. They want only visibility.,Be the first to find this review helpful
31,Great job,,5.0,Great benefits working for this company,Complex sales process that requires many levels of management involvement,1 person found this review helpful
32,great industry to work with,,3.0,easy going and hands on,not very cooperative at times,Be the first to find this review helpful
33,Great company.,,5.0,"Great people, salary, and culture.",Nothing comes to mind at present.,Be the first to find this review helpful
34,Recruited and onboarded during Lockdown!,,5.0,"Talented people, customer and employee focused, growing and expanding really fast, a multi $bn start up! The company has really looked after me/the workforce in general with paying for home office kit, extra days off to compensate for the stress of WFH during Covid.","Joining during lockdown has been tough. No f2f meetings at all. I haven't met any of my colleagues yet, so there is a huge reliance on virtual technologies.",1 person found this review helpful
35,Cool place,,5.0,A cool place to work in,Nothing bad to say here.,Be the first to find this review helpful
36,Best Place To Work,,5.0,"Employee friendly, cooperative work culture, supportive colleagues, great higher management",Nothing as of now Which is out of order,Be the first to find this review helpful
37,Great community,,5.0,- A lot of benefits - Get opportunity to learn in big tech company,"- Conflict in office politic, but able to manage it",Be the first to find this review helpful
38,Basic training,,3.0,"Good salary, good people and good company",Not much training and not a challenging role,1 person found this review helpful
39,Great place to work,,5.0,- Employee wellbeing is a big focus - Employees are supported and rewarded - Fun place to work - Great people - Great benefits,Marketing team doesn't have much growth in the UK and the promotion process is extremely flawed,Be the first to find this review helpful
