,title,author_info,rating,pros,cons,helpful
0,"Good company, salary, benefits","Jun 13, 2022 - Business Development Representative (BDR) in Dublin, Dublin",5.0,- great people - great business ethos,"- structured promotion, may be delayed",Be the first to find this review helpful
1,Best company to work in world,"Jun 13, 2022 - Technical Support Engineer in Hyderābād",5.0,Great work culture Company supports employees well Very good salary and benefits Lot of learning opportunities Better growth,No cons in the company,Be the first to find this review helpful
2,Best Company to work in,"Jun 14, 2022 - Software Engineer",5.0,- Best Employee success team - Good workspace - Good people - Best work equipment,- nothing I can think of right now,Be the first to find this review helpful
3,Great,"Jun 14, 2022 - Senior Account Manager",5.0,Amazing culture Great work ethics,Can’t judge as still new I’m role,Be the first to find this review helpful
4,?,"Jun 27, 2022 - BDR",4.0,Remote work Good for CV Career path,Drinking 2 much kool aid,Be the first to find this review helpful
5,Awesome work culture,"Jun 13, 2022 - Senior Product Analyst in Hyderābād",5.0,Good Pay Good benefits Employee Wellness,All pros no cons as such,Be the first to find this review helpful
6,Very Nice company to work,"Jun 13, 2022 - Technical Consultant",5.0,Too many benefits. Nice leave policy.,Less pay according to the market standards.,Be the first to find this review helpful
7,Good place to work,"Jun 27, 2022 - Account Ececutive in Helsinki, Southern Finland",4.0,Good benefits and culture in company.,Poor life work balance and slow career progression.,Be the first to find this review helpful
8,Salesforce Became Telgu Force (Toxic Culture),"Jun 16, 2022 - Devops Engineer in Hyderābād",3.0,1. Good Compensation and employee benefits. 2. Work life balance is good depending on the team and management. 3. Salesforce as a company have very good culture and cares for the employee.,"1. From top to bottom 95% of employee in Hyderabad are Telgu. In the team meeting , desk every where they talk in Telgu. No one follow office etiquette and makes the culture toxic. 2. If you are a non-telgu employee your life will be hell here. They will assign more work to you and during appraisal telgu employee will get more hike % , stocks, promotion everything and a non-telgu guy have to listen blame and bad feedback. They will sideline you in all aspect. 3. You can't raise your concern to the HR or ethics department because there also telgu management and at the end they will prove that you are wrong. 4. Managers and Recruiters will highly exploit the employee Referral program . They will only refer and hire there known person to add more Telgu person in the team. No transparency in hiring and stopping the right talent to come in. I am not targeting or blaming Telgu people here but it is the people who are making the culture more Toxic here. Non-telgu will be minority highly exploited community here.",5 people found this review helpful
9,Super Company,"Jun 12, 2022 - Anonymous Employee",5.0,"Well looked after, great culture, good pay particularly with bonuses.","Base salary below industry average, monthly targets",Be the first to find this review helpful
