,title,author_info,rating,pros,cons,helpful
0,excellent,"Mar 20, 2012 - LMTS in San Francisco, CA",5.0,"work environment, exciting projects, good benefits pacakge, competent people, cutting edge technology",relationship between business and IT is not good,Be the first to find this review helpful
1,Awesome,"Mar 6, 2012 - Lead Member of Technical Staff in San Francisco, CA",5.0,"Great company to work for. Great people, fun environment, rock culture. Lot of opportunities to grow. Have great internal policies and performance evaluation cycle. Promotion evaluation happens every quarter rather than 1 year for all typical companies. RSUs vest every quarter after first year. Bonus structure is good and is paid every 6 months.",Young people in the management are inexperienced and proud as it was a small company and suddenly gained a lot of fame and they rose to a higher management position. They sometimes don't know how to give positive feedback but do a superb job in providing negative feedback.,Be the first to find this review helpful
2,Working at salesforce has been a tremendously rewarding experience.,"Mar 5, 2012 - Senior Manager in San Francisco, CA",5.0,"One of the best reasons to work at salesforce.com are the people .. sure there are politics, but in general everybody I interact with is pleasant, positive, and people i consider friends.",The company is growing so quickly which makes it hard to stay aligned and prioritize your work. There are just so many projects and opportunities. Everybody wants a little piece of everything.,Be the first to find this review helpful
3,Amazing place to work for,"Feb 24, 2012 - Member Of Technical Staff in San Francisco, CA",5.0,"- You work with the best minds in the industry. Developers are very talented and hardworking. - Compensation is one of the best in the industry. Other benefits include free breakfast, snacks, fruits, frequent team lunches - You have the flexibility to shift to any team after few releases and there is absolutely no politics in that proces. You can chose to work in back-end server side work or front-end or mobile or any technology you want. - If you are good people really respect you and you have a lot of potential to grow. There is very less politics here compared to the other big companies I have seen",- Sometimes the work can become very hectic and you might have to put extra hours to get things done.,1 person found this review helpful
4,A company that is moving quickly but needs to develop some areas along the way,"Mar 7, 2012 - in San Francisco, CA",3.0,Intelligent and talented workforce that are motivated. Super location. Well stocked fridges. Perks are above average.,Career path is not well defined. Chance at promotion can be minimal on certain teams who have not changed personnel in a while. Sales seems to be the team that is constantly praised.,Be the first to find this review helpful
5,"Fun but alot of hard work. Meritocracy is rewarded, flat structure","Feb 18, 2012 -",4.0,Fast Paced Great Culture Benefits Training Explosive growth Opportunities,Not Enough Down Time Limited growth potential if you are not in the right team,Be the first to find this review helpful
6,Great work environment and opportunities for growth,"Feb 3, 2012 - Senior Desktop Support Analyst in San Francisco, CA",5.0,"Colleagues, management, opportunities, pace, atmosphere.",people that makes no sense but have the authority.,Be the first to find this review helpful
7,An all-around great place to work.,"Feb 1, 2012 - in San Francisco, CA",5.0,Work on cutting edge technology with the best and the brightest engineers. Salesforce.com also gives back to the community in a big way. Fortune's Best Companies to Work For: Salesforce.com is #27.,"There are so many opportunities to learn and get involved in various initiatives, that it can easily take a lot of time from one's primary responsibilities.",Be the first to find this review helpful
8,This is one of the best companies in the world.,"Jan 30, 2012 - Sales Representative in Spokane Valley, Optional[WA]",5.0,"Salesforce is a very forward-thinking and progressive company. Pay is generous, and the company goes out of its way after you are hired to make you feel important. Orientation takes in place in San Francisco, and they'll fly you down there. Part of orientation involves volunteer work at a local charitable organization; in fact the company gives you an additional paid week off each year to devote toward volunteer work. Benefits are excellent, and include fitness expense reimbursement ($100/mo) in addition to full medical, health and dental. My division buys the entire office catered lunch twice a week, although that perk doesn't apply everywhere. Managers are fair, and don't ask their employees to work to exhaustion. The company is growing at a rapid pace, so there is plenty of room for growth and advancement. Finally, there is the name recognition that comes with working at a prestigious company. Salesforce. People in the IT world place it in the same category as Google and Apple. Even if you don't stick around long-term, it looks great on a resume.","Interoffice scuttlebutt is of course an issue, but it's not a problem unique to Salesforce by any means. In the division I am a part of, there is no formalized training or onboarding program, so the first couple weeks can be rough while you get acclimated. With all the growth, sales territories are constantly being moved around and this can make rapport building with clients difficult.",Be the first to find this review helpful
9,GOOD,"Jan 11, 2012 - Marketing in New York, NY",4.0,"good, potential to grow, relies on quality work",relied on old managers and not new talents,Be the first to find this review helpful
