,title,author_info,rating,pros,cons,helpful
0,RVP Sales,,4.0,Great technology. Great Customers. Strong Benefits. Long term vision is compelling.,It is easy to burnout.,Be the first to find this review helpful
1,A very exciting company for which to work.,,5.0,"Salary, benefits, perks all top notch. Every opportunity for growth that I could imagine is given. Our leadership really cares; it's not just a tagline at Salesforce, and I mean 'cares' in the broadest sense of the word. Marc's leadership on organizing against the various discriminatory legislation in the US is a great external example. Know that this extends to our internal structure as well and is the bedrock of our corporate culture. I'm gushing, I know, but it's truly how I feel.",Know that there is a high pace to the work at Salesforce. We work in an area of the industry with tremendous growth and continued growth potential. Some people may not fit well in such an environment.,1 person found this review helpful
2,Account Executive,,4.0,Fast growing company that invests in its products while focusing on customer success. Fast pace keeps you focused on driving towards company initiatives.,The pace isn't for everyone. The shiny lights turn to spotlights once you're carrying quota. There is a revolving door for those that can't hit their numbers or cannot adapt to the environment. Put your best foot forward!,2 people found this review helpful
3,Incredible culture.,,5.0,The company values their customers and employees. The solutions are innovative and the company culture is addictive. You're encouraged to grow and be better every day.,Intense at times. If you don't know how to manage your time then you could get stressed out. If you're not good working as a team then you won't survive.,4 people found this review helpful
4,Senior Technical Program Manager,,4.0,"So far, the company appears to walk the walk around topics of culture and diversity. 7 days of time off to volunteer! Exceptional snacks. Top notch planned/managed on boarding plan that involves periodic automated emails paced to when you need the information. The company lives and dies using its own product as the backbone of collaboration ... and it works very well! Appears to be very supportive of both windows and mac environments and has a top notch IT environment. Has a strong internal culture of supporting people that consider changing jobs.",Current shake up in relocating the Seattle office.,Be the first to find this review helpful
5,Great technology and culture more progress needed for diversity,,5.0,* Market leader in enterprise cloud computing with accelerating momentum * You'll learn a lot of best practices in software development * Great company culture with top-down alignment through V2MOM process * Awesome philanthropical vision with 1-1-1 model and so many volunteering opportunities not to mention the $5000 annual foundation match * Company has made great strides in gender equality and providing opportunities for women in leadership and taken a strong stance against LGBT discrimination,"* Company is getting large and with a large influx of new hires there are the growing pains it comes with that * Leadership opportunities and promotions for minority (Hispanic, Black, Asian) males seems lacking",7 people found this review helpful
6,great place to work,,5.0,"work/life balance, great support, flexible hours",none I can think of now,Be the first to find this review helpful
7,#Dreamjob!,,5.0,Culture / Growth / Innovation / Products / Leadership,Change is constant but thats only negative if you let it be,Be the first to find this review helpful
8,"Great company, Great people, Great product!",,5.0,Salesforce hires the best and brightest in terms of employee talent and that just makes the overall experience wonderful.,Salaries are not quite as competitive as other firms out there but the ESPP makes up for that given the stock has been doing well.,Be the first to find this review helpful
9,Overall review,,4.0,- great place to work - fast pace - 1-1-1 is a great way to give back to the community,- growth is not defined well - mgt team is so swamped that they dont take time for team/team events,Be the first to find this review helpful
10,Knockin on the Boy's Clubhouse Door,,2.0,Marc Benioff is an envisionary leader. The innovation that he inspires as well as his passion to build a company that embraces equality and diversity makes for a compelling set of reasons to be part of this great company.,"While the west coast may be working on meeting Marc's lofty goals, the midwest(specifically midwest CSG) is swiftly becoming the white male centric world. Women are not staying within various roles within CSG in growing numbers and it's becoming very obvious that this is a white man's world. If you read the Chicago Tribune this weekend, you will not that more and more diversity factors(black, Hispanic, etc) are leaving for more favorable areas from every company, not just SF. If anyone would do the data analysis for CSG Chicago, warning bells should go off. The executive leadership is slowly but surely driving women out of their workforce vs embracing Marc's culture.",17 people found this review helpful
11,Working here is great. Management is very supportive and coworkers are friendly.,,5.0,Friendly coworkers. Healthy work environment. Very enjoyable place to work. Management is supportive of employees and always tries to help employees grow their career.,"Can be a long commute from East Bay as it is in San Francisco. Sometimes Bart gets delayed, which lead to long commute hours.",1 person found this review helpful
12,Area Vice President,,4.0,"Incredible CEO with compassion, vision, and true to his values","Company is getting big and losing its intimacy of a small and nimble startup. Now at the 4th largest software company, it has the challenges of a large company",1 person found this review helpful
13,Technical Program Manager,,4.0,"Good company to work for, smart people who are held accountable for their work at all times","Not very good work/life balance. Depending on the job that you do, sometimes you will need to stay late and work weekends.",Be the first to find this review helpful
14,Account Executive,,4.0,"Excellent professional and personal development opportunities. I came from a relatively old school company, and Salesforce was the ultimate sales bootcamp. I was extremely marketable leaving SFDC, and look back on my two years fondly.","There are too many AEs and not enough territory. I increased revenue in my territory by 400%, and didn't hit quota. Only 20% of AE's in my vertical hit their quota, and all of them had been there for 5+ years.",7 people found this review helpful
