,title,author_info,rating,pros,cons,helpful
0,Great company to work for but long hours,"Oct 27, 2021 - Anonymous Employee",5.0,"Great team, good products and growing organisation","Long hours, a lot of stress and although management keeps saying step away to re-charge, there is too much on to successfully step away",Be the first to find this review helpful
1,Nothing best place to work,"Oct 28, 2021 - Software Development Engineer (SDE) in Jaipur, Rajasthan",5.0,Nothing best place to work,Nothing good place to show your skills,Be the first to find this review helpful
2,Amazing Organisation to work with,"Nov 10, 2021 - Senior Data Modeler",4.0,"Values, Culture, Great benefits, Great remuneration, Great minds to work with",there are few exceptions to above pros in middle management,Be the first to find this review helpful
3,Great company,"Nov 10, 2021 - Associate in Munich, Bavaria",4.0,Freedom and independence. I worked with very smart people.,Sometimes I was not given enough responsability.,Be the first to find this review helpful
4,"Not bad, not fantastic","Nov 10, 2021 - Analyst in Toronto, ON",4.0,"good people, benefits, methods of success","Long long long hours, team collaborations can be purely professional and lacks personal touch. Not many team events, lacking camaraderie.",Be the first to find this review helpful
5,Exactly as advertised,"Oct 25, 2021 - Senior Sales Engineer in Toronto, ON",5.0,"Great platform, solid SE management, great benefits",Usual litany of terrible Sales Managers and VPs,Be the first to find this review helpful
6,Incredible Company Culture,"Oct 25, 2021 - IT Consultant in London, England",5.0,"Salesforce is indeed one of the best companies to work for. Culture wise, it's incredible as people are helpful, always there if you need a hand or got stuck and most importantly, when things get tough, stay together as opposed to assigning blame. Pro: - Amazing benefits (Wellness Reimbursement, £5000 per employee per year for training - that's more than some other companies' entire training budget), - Great culture - A lot of swag (especially during Dreamforce/World Tours) - Ability to do paid time off for volunteering - this is actively encouraged - Transparency and Open Communication from Upper Management in regards to company direction and strategy",Hard to grow if you joined at a lower grade level,Be the first to find this review helpful
7,Decent company with good work life balance,"Nov 8, 2021 - Business Development Representative in Bangalore",4.0,1. People and processes are good,Numbers pressure and depends on what territory you get,Be the first to find this review helpful
8,Amazing work enviroment and top benefits,"Oct 24, 2021 - Business Development Representative",5.0,Top benefits Very flexible expend account Unlimited PTO Friendly work environment great culture,Interview process can take a long time,Be the first to find this review helpful
9,good,"Oct 23, 2021 - Anonymous Employee in Yonezawa",5.0,i enjoyed this job so much,i. like this beautiful works.,Be the first to find this review helpful
