,title,author_info,rating,pros,cons,helpful
0,Account Executive,"Jan 19, 2016 - Anonymous Employee",4.0,Competitive compensation package and benefits,Growth is challenging patches getting smaller and smaller within Sales Reps,Be the first to find this review helpful
1,Great,"Jan 18, 2016 - Anonymous Employee",4.0,"Great perks, good working environment. Salesforce staff and management (including upper) are friendly. Fairly well run technology.","Talent bar can be a little low. A lot of barriers to productivity, particularly the strength of their QE force.",Be the first to find this review helpful
2,Marketing,"Jan 3, 2016 - Marketing in Naples",5.0,Extensive Learning at the company,Distance was a varied circumstance,Be the first to find this review helpful
3,Database Engineer,"Jan 15, 2016 - Senior Service Database Engineer in Dublin, Dublin",2.0,very smart people and decent compensation,long hours and expected to work out of hours.,1 person found this review helpful
4,good company,"Jan 16, 2016 -",2.0,"good company, nice facilites, nice outlook",could be better company. not anymore,Be the first to find this review helpful
5,The Sales Career Jackpot,"Nov 30, 2015 - Senior Account Executive in Vancouver, BC",5.0,"I wasn't actively looking for another career when Salesforce recruiters approached me on LinkedIn, but I am so glad they did. Salesforce hires extremely talented, ambitious, and laser-smart people, and I've learned more here in 6 months than I have in the last several years. The salary is excellent, benefits unparalleled, and the culture is one of generosity and giving back (volunteer hours are highly encouraged and employees can take time off work, with pay, to give back to their communities locally and globally).","The pace is very fast. There is a lot of travel and sometimes little guidance, Salesforce hires smart people and expects them to dive in the deep end and not only to swim..but to win the race and to coach the rest of the pack while doing it. I wouldn't necessarily classify this as a con personally though - I like the moving fast, and learning and innovating on a daily basis.",8 people found this review helpful
6,Sales representitive,"Jan 6, 2016 - Sales Representative in Dublin, Dublin",4.0,"Great work atmosphere, very competitive but learn a lot. Would recommend working there to start a sales career. You can come in from any level and work your way up","Career progression is not as good as it is suggested. However given that you get brilliant training for each position and a lot of experience it is worth it . Management are very supportive but very much focused on activity, if you are more of a relationship building person and take time closing deals I wouldn't recommend it as it is more high activity driven",1 person found this review helpful
7,Management,"Dec 13, 2015 - Anonymous Employee",5.0,Fantastic Energy Clear vision of the Strategy,Ability to work under pressure,3 people found this review helpful
8,Love this place!,"Dec 22, 2015 - Director of SE's in London, England",5.0,"Salesforce is driven for all the right reasons - high quality products, successful customers and employees and giving back. It's exciting to see things 'actually' change based on innovation and strategy to ensure our 2020 vision!","It's constantly changing, which in my mind is important to stay fresh and relevant. It can sometimes be a challenge though.",Be the first to find this review helpful
9,Great,"Jan 4, 2016 -",4.0,Nice working culture and healthy competition.,Not a good place to work if you want to live lavishly without any work.,Be the first to find this review helpful
10,Great place to learn and network but beware burn-out,"Nov 4, 2018 - Anonymous Employee",4.0,"Training, wellness and education reimbursements Great place to network and meet some of the top software sales people in Europe Focus on diversity",Burnout culture - high growth targets at any cost Claims to be customer-centric company but in many ways is not Aggressive sales culture. Under resourced on Customer success and employee engagement,3 people found this review helpful
11,"Never ever work for CSG at Salesforce , Hyderabad..!! It is a crap department","Jul 26, 2019 - Senior Developer Support Engineer in Hyderābād",1.0,"Free Food, Pick & Drop, Health Insurance, Gym",No work life balance in Customer Support Group (CSG). You have to work like slaves or bonded laborers fully loaded with work and dealing with global customer cases everyday.,24 people found this review helpful
12,"It is true that its not an environment for dead wood/whingers, but that's a good thing!","Oct 21, 2008 - EMEA Data Manager in Staines, England",4.0,"Everyone's ideas are listened to and if they work, will be adopted. The opportunity to work with charitable organisations as part of your responsibilities. Nice to give something back!",We need a bigger market share to create even more awareness!,1 person found this review helpful
13,Make your choice,"Jul 26, 2010 -",3.0,"If you want to find a market lead and good place for interesting work, this might be a right place for you to try.","If you want to find a place that you can relax and makes easy money, this might not be your best choice.",Be the first to find this review helpful
14,"Nice start up business story - excellent product - great company for salary but boring job, worse management ever !!!!","Dec 27, 2013 - Collection Analyst in Morges",2.0,Salary - fridge full of drinks- nice office location and ncie building,"Dashboards for everything, no clear processes, lack of serious in management, a lot of favoritism - no HR representant",3 people found this review helpful
