,title,author_info,rating,pros,cons,helpful
0,Amazing company,,5.0,"I have been with Salesforce for 6 years and am so impressed with the direction and way the company has been growing. The sense of belonging is really here as the leadership really makes sure each employee is taken care of. With the recent climate of Covid-19, I truly saw how much Salesforce valued each employee and prioritized each and every one of our health. The company has grown 4x the size since I started and it's a great feeling to contribute to the growth. The benefits here are amazing as well. My favorites are the wellness reimbursement program, ESPP and 401k.","Technology performance issues within Recruiting could be better but the team works hard to improve and it shows,",2 people found this review helpful
1,Love Salesforce,,5.0,"Great culture, work life balance",Emphasis on San Francisco headquarters,Be the first to find this review helpful
2,Great experience so far!,,4.0,"Great work-life balance and benefits Great colleagues and team spirit Remote position Networking opportunities Customers engagements are interesting and challenging Great training and enrichment opportunities Great job for those who like to work 1:1 with customers Lots of giving back, VTO, and charity opportunities Focus on equality and equity in the workplace, which is one of my #1 reasons for being here! Having been at other companies where you are worked to burnout and then some. I also know that some roles here are taxing and overwhelming as well. I have not experienced that in this role. This is an advisory and support role. You will be relied upon to know the platform, know security schemas, and some architecture and help, guide, and teach customers best practices. There are a lot of reading, learning, and conversations. Presentation, communication, demonstration, and soft skills are also needed for this role.","Sometimes you feel like you are on your own, and have to figure things out. Not a lot of 1:1 development, you have to feel out what you want from your manager Not always sure I am ""on the right track"" The pace of change is fast, especially with acquisitions It's not a great job for anyone who needs constant reassurance, you will do best if you are a go-getter and can network on your own with your teams. Hours can be long depending on the time of year for customers",Be the first to find this review helpful
3,Good place to work,,4.0,"Smart people who care about making an impact in job and within the community. Entire campus is newly renovated, beautiful office spaces, clean. Good work support and team culture. Driven to be inclusive and help employees set and accomplish their goals.",Red tape and more cautious to action than some of the other tech companies.,Be the first to find this review helpful
4,Great place to work,,5.0,Great managers that help you develop your career.,Typical big company with soiled organization.,1 person found this review helpful
5,Best company to work for,,5.0,flexibility pay is higher than expected great culture best technology,Complex sales cycle and a lot of products to sell - which is why working here is like a sales MBA,Be the first to find this review helpful
6,Glassdoor,,5.0,Great place to learn here.,Can’t say there are much cons.,Be the first to find this review helpful
7,Great Company Overall,,5.0,It has a great culture and people!,Don't pay as well as competitors,Be the first to find this review helpful
8,Dreamjob!,,5.0,great co-workers great company great values great work life balance,lots of admin work required,Be the first to find this review helpful
9,Great place to work,,5.0,"-Pretty good comp -Decent work-life-balance -Very good culture, don't hire / retain a-holes",-Slow moving and not innovative enough -Stock growth not what it once was,Be the first to find this review helpful
10,Good company,,4.0,Strong values and cares about its people,Low sales pay compared to market,Be the first to find this review helpful
11,Very Nice Company Good work life balance,,4.0,- Good work life balance. - Good perks,- Slow development - Lot of processes - Distributed teams,Be the first to find this review helpful
12,"Great Company, just too big",,4.0,"Cares about its people, innovative, fast paced",Always busy but difficult to get things dones,Be the first to find this review helpful
13,Good company Great benifits,,4.0,"everything is good , great benefits",projects you are working on can get to redundant after some time,Be the first to find this review helpful
