,title,author_info,rating,pros,cons,helpful
0,Best Place to Work,,5.0,Good culture Employee centric company Good perks,Less work Not much learnings currently,Be the first to find this review helpful
1,"Innovative, young fun company with great career potential.",,5.0,"Great management, with young, fun teams who work hard to get good results.",Large company so can't facilitate certain things if you need something niche to be done quickly.,Be the first to find this review helpful
2,Maybe not good for the youth,,4.0,Great workplace and teammates always helpful,Sometimes it is difficult to grow as company is having big changes. Young people is having its difficulties.,Be the first to find this review helpful
3,Great Ohana culture,,5.0,The Ohana culture is great. Team members treat each other as family members.,There are many acquisitions in recently years. The Ohana culture may not be well propagated.,Be the first to find this review helpful
4,Great place to work,,5.0,"Good benefits from company, good increment, friendly environment",Working in shifts makes it worse.,Be the first to find this review helpful
5,Best Place to work,,5.0,"Salary, Benefits, Life work balance ,Trust",none it is a great place to work,1 person found this review helpful
6,Working in Salesforce,,5.0,"Working in Salesforce is great. We are all part of the Ohana(family). Lots of self development opportunities, good salary and great teamwork",As every big company there are times that you can feel the stress,1 person found this review helpful
7,Wonderful Company to Work In,,5.0,Feeling of Ohana (family) propagated right from the top Colleagues help each other,"Very fast paced organisation, we need to find our own rhythm to survive.",Be the first to find this review helpful
8,Great Company,,5.0,Good working environment High income and good benefits. The company cares about its employees. They value their employees ・They value social contribution as a company,High growth rate is always required.,Be the first to find this review helpful
9,Awesome place,,5.0,Culture innovation team growth opportunities,Getting bigger so maintaining entrepreneurial feel,Be the first to find this review helpful
10,Ju,,4.0,"Innovation, focus on customiser successivement, benefits, DNA,","Workload, life balance, pressure, internal work, bureaucratie",Be the first to find this review helpful
11,No longer employed,,3.0,They paid well for our Area,They seem to be Moving jobs offshore,Be the first to find this review helpful
12,Great Place to Work,,5.0,"Benefits, culture, office locations, best in class solution, autonomy and trust from management","Complex systems to learn, competitive market selling premium product",Be the first to find this review helpful
13,BDR,,4.0,"Sales methods, Life Balance; Good people","targets; values, ethics; this is a Big company",Be the first to find this review helpful
14,good WLB,,4.0,"tech stack is old, wlb is excellent","old stack, core is boring",Be the first to find this review helpful
15,Working at Salesforce,,4.0,"Good environment to work, good benefits",Need to have more presales support,Be the first to find this review helpful
16,Software Engineer Intern experience,,5.0,Team was always willing to help and making me confortable. Is a big company and has lots of experienced professionals. Salary is good and also gives you a lot of benefits.,At first it was overwhelming.,Be the first to find this review helpful
17,Top,,5.0,Positive minds are everywhere in that company,Notthing to declare in this point,Be the first to find this review helpful
18,Great place to work!,,4.0,"Amazing benefits, good training, colleagues are great!",Culture + Values clash and are not aligned.,Be the first to find this review helpful
19,What to expect,,3.0,Possibility to learn if you don't mind tirelessly looking for resources by yourself and using your personal time,"The so acclaimed company culture does not extend to Technical teams, it appears to be great for sales teams, but all other employees I've spoken to in my segment are unanimous on this perception",4 people found this review helpful
20,Amazing place to work,,5.0,SF has great people and culture,In danger of losing it's culture,Be the first to find this review helpful
21,Overall positive,,5.0,- Great place to improve outside of just your job,- A lot of process and admin work - Not quick to move into new sectors,Be the first to find this review helpful
22,Good,,5.0,Very good culture slurs in the company,Support has lots of pressure,Be the first to find this review helpful
23,Extraordinary,,5.0,All are good to work on this company,No cons at the moment,Be the first to find this review helpful
24,Developer Success Engineer,,5.0,Good work environment. There are many employee benefits,The work in support is not meant for everyone.,Be the first to find this review helpful
25,"Great Company - Great pay, smart people, great opportunities",,4.0,"pay, benefits, innovative, training, leadership","process, quota, territory, vision, pressure",Be the first to find this review helpful
26,Good company,,4.0,"Great benefits, good colleagues and rewards",Pressure sales environment like all big tech,Be the first to find this review helpful
27,Salesforce,,4.0,great company to work for,some processes are too laborious,Be the first to find this review helpful
28,"Great place for growth, could have a more flexible WFH policy",,5.0,"Good teamspirit, enourmous focus on personal growth and promotion opportunities","WFH policy is very non-flexible, despite the ""work from anywhere"" messaging from HQ. All Dublin employees were required to fly back and work from home in Dublin in the middle of the pandemic, despite the fact that most of us are from continental Europe and do not have any family and friends here.",1 person found this review helpful
29,Great culture moving to working from anywhere,,5.0,Listens to employees and empathetic,None at this moment now,Be the first to find this review helpful
30,Best company in the world,,5.0,awesome culture throughout entire org,nothing to report on at this stage,Be the first to find this review helpful
31,Amazing!!,,5.0,Excellent Work Place 10/10 Great Atmosphere to work in Good Pay,"Its been an year for me, I Cannot find any cons so far",Be the first to find this review helpful
32,The best graduate program you can find in Sales,,4.0,"Nice work environment, very interesting, learn a lot, a lot of stakeholders, visibility on promotion, amazing products","Sometimes redudant when you are an SDR, but very interesting",Be the first to find this review helpful
33,Feel like a brick in the wall,,3.0,Great culture and benefits. Company has been growing forever.,"Between my offer and day of joining I get a call saying things have changed and hence my role and my manager will change. I still went ahead and joined. In last 3 years I saw my role getting marginalized and eventually killed. And the way this was handled or rather not handled, was disappointing - no communication from HR or my manager till 3 weeks before the role was going to be eliminated. In general while the company is growing, it doesn't necessarily mean that you will grow. The company puts more incentives on the ""Core"" or Prime sales and not so much on ""Cloud"" or co-prime sales. Co prime sales are clearly 2nd rate citizens.",Be the first to find this review helpful
34,This is fine,,3.0,Have a good experince in this technology,having knowledge of salesforce adminstration and analytics,Be the first to find this review helpful
35,Great place to work with exceptional benefits,,5.0,Truly a great place to work with some of the most passionate and knowledgeable people in the industry.,Sometimes we let the reports and KPIs get in the way,Be the first to find this review helpful
36,Revealing the reasons why I stay with this company for 10 years!,,5.0,"- Excellent healthcare and wellness benefits - Executives level tirelessly running week after week All-hand call with all employees keeping us stay strong during covid despite of their extremely busy schedules. - Their sharing during the calls are open, transparent with focus on equality, fairness - Strong sense of Ohana (family) within Singapore Finance, people are kind and genuine care to help out each other.","- Pace is fast - constant catching up the changes, I guess this happen very frequent in Tech companies.",1 person found this review helpful
37,"Fast paced, authentic, innovative",,5.0,"Culture, employee support, pace of change, autonomy, innovation",Don’t sign up if you need dependable practises- change is the only constant here which is a gift and a curse,1 person found this review helpful
38,Good Culture！！,,3.0,Good culture Everyone is willing to help,busy at work Many internal meetings,1 person found this review helpful
39,Salesforce review,,5.0,"Great values and culture, really care and listen to the employees, willing to change and adapt.",Becasue it is very large company inter teams dependency can be hard and reduce agility.,Be the first to find this review helpful
40,good,"Jul 1, 2021 - Sales Associate in Indore",4.0,nice good environment cooperativegood staff helarhy,bad time issue and working problems,Be the first to find this review helpful
41,Good Company for Experienced,"Jun 18, 2021 - Software Engineer in Hyderābād",4.0,good perks and brand value,work life balance is not good,1 person found this review helpful
42,Good,"Mar 17, 2021 - Senior DevOps Engineer in Hyderābād",3.0,All good. Work life balance . Free Food.,"I don't feel anything in my experience, except there is a monthly targets for the projects based on the Managers... And more over there are having too many unwanted meetings..",1 person found this review helpful
43,Awesome!,"Mar 17, 2021 - Anonymous Employee",5.0,"culture, benefits, career growth, leadership",HQ centric hiring focus on SF,Be the first to find this review helpful
44,Great Values,"Jun 13, 2021 - Area Vice President of Sales in Oslo",4.0,"Great, sustainable values, excellent customer focus, innovative and strong, positive growth culture",Too much of a start-up in some areas.,Be the first to find this review helpful
45,Literally your Extended Family,"Aug 21, 2020 - Busineess Development in Singapore",5.0,"- Transparant - Positive work culture - Close knit team - Leadership team who care for input and take feedbacks seriously - Effort and Reward - Highly Value and encourage even reward employees' contribution to community - Ecosystem,resource and expert offers absorbed by company for your personal development (frequently invites and arranges global speaker to conduct trainings) - Personal (and family) wellfare and benefit -Manager willnserious discuss,advise and assist you towards your personal development and career developmwnt plan -Inclusive and Respect","- fast,changing, challenging (positive competition) - endless meetings and call ( management resort to send official email refrain conducting business related meeting on Friday.Digital detox)",3 people found this review helpful
46,Great company - careful about becoming too political,"Jan 14, 2021 - Customer Success Manager in Dublin, Dublin",5.0,"Great culture, great values, great people.","the company has had a staggering growth and acquired a lot of companies. It's diluting the initial culture of salesforce (people do not know each other anymore, and COVID didn't help).",Be the first to find this review helpful
47,Great company with significant upside potential,"Jan 29, 2021 - Director in London, England",5.0,"Visionary leadership, Talented colleagues, Career Growth","Constant change, Turf Wars, Role Duplication",1 person found this review helpful
